"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Direction","GeneRatio_num","Description_wrap"
"GO:0042398","cellular modified amino acid biosynthetic process","4/158","34/11181",0.117647058823529,8.32539091586002,5.1214248575818,0.00127954006679287,0.0317969031823137,0.0277842651305012,"mikado.Chr01G39/mikado.Chr07G112/mikado.Chr18G151/mikado.Chr18G152",4,"Down",0.0253164556962025,"cellular modified amino acid
biosynthetic process"
"GO:0015925","galactosidase activity","3/158","16/11181",0.1875,13.2685917721519,5.87929003344757,0.00135440003649281,0.0317969031823137,0.0277842651305012,"mikado.Chr06G106/mikado.Chr06G107/mikado.Chr06G108",3,"Down",0.0189873417721519,"galactosidase activity"
"GO:0031033","myosin filament organization","3/158","16/11181",0.1875,13.2685917721519,5.87929003344757,0.00135440003649281,0.0317969031823137,0.0277842651305012,"mikado.Chr08G435/mikado.Chr13G64/mikado.Chr04G680",3,"Down",0.0189873417721519,"myosin filament organization"
"GO:0031034","myosin filament assembly","3/158","16/11181",0.1875,13.2685917721519,5.87929003344757,0.00135440003649281,0.0317969031823137,0.0277842651305012,"mikado.Chr08G435/mikado.Chr13G64/mikado.Chr04G680",3,"Down",0.0189873417721519,"myosin filament assembly"
"GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase","3/158","16/11181",0.1875,13.2685917721519,5.87929003344757,0.00135440003649281,0.0317969031823137,0.0277842651305012,"mikado.Chr17G358/mikado.Chr18G151/mikado.Chr18G152",3,"Down",0.0189873417721519,"fatty acid beta-oxidation using
acyl-CoA dehydrogenase"
"GO:0043050","nematode pharyngeal pumping","3/158","16/11181",0.1875,13.2685917721519,5.87929003344757,0.00135440003649281,0.0317969031823137,0.0277842651305012,"mikado.Chr13G64/mikado.Chr05G819/mikado.Chr04G680",3,"Down",0.0189873417721519,"nematode pharyngeal pumping"
"GO:0044283","small molecule biosynthetic process","14/158","397/11181",0.035264483627204,2.49552019896056,3.6324290350161,0.00147966432670752,0.0343384169611779,0.0300050503516249,"mikado.Chr01G39/mikado.Chr06G166/mikado.Chr07G112/mikado.Chr08G154/mikado.Chr08G248/mikado.Chr08G333/mikado.Chr11G428/mikado.Chr12G87/mikado.Chr18G203/mikado.Chr18G432/mikado.Chr04G295/mikado.Chr21G162/mikado.Chr21G285/mikado.Chr21G587",14,"Down",0.0886075949367089,"small molecule biosynthetic process"
"GO:0003995","acyl-CoA dehydrogenase activity","3/158","17/11181",0.176470588235294,12.48808637379,5.67494661612971,0.00162766707513032,0.0368657703111583,0.0322134621315927,"mikado.Chr17G358/mikado.Chr18G151/mikado.Chr18G152",3,"Down",0.0189873417721519,"acyl-CoA dehydrogenase activity"
"GO:0010040","response to iron(II) ion","3/158","17/11181",0.176470588235294,12.48808637379,5.67494661612971,0.00162766707513032,0.0368657703111583,0.0322134621315927,"mikado.Chr06G106/mikado.Chr06G107/mikado.Chr06G108",3,"Down",0.0189873417721519,"response to iron(II) ion"
"GO:0016053","organic acid biosynthetic process","9/158","193/11181",0.0466321243523316,3.29996064799633,3.85868454889647,0.00166160727999773,0.0368657703111583,0.0322134621315927,"mikado.Chr01G39/mikado.Chr07G112/mikado.Chr08G154/mikado.Chr08G248/mikado.Chr18G203/mikado.Chr18G432/mikado.Chr21G162/mikado.Chr21G285/mikado.Chr21G587",9,"Down",0.0569620253164557,"organic acid biosynthetic process"
"GO:0046394","carboxylic acid biosynthetic process","9/158","193/11181",0.0466321243523316,3.29996064799633,3.85868454889647,0.00166160727999773,0.0368657703111583,0.0322134621315927,"mikado.Chr01G39/mikado.Chr07G112/mikado.Chr08G154/mikado.Chr08G248/mikado.Chr18G203/mikado.Chr18G432/mikado.Chr21G162/mikado.Chr21G285/mikado.Chr21G587",9,"Down",0.0569620253164557,"carboxylic acid biosynthetic
process"
"GO:0016323","basolateral plasma membrane","8/158","159/11181",0.050314465408805,3.56054454263196,3.89314191794516,0.00186315521930973,0.040888156388982,0.0357282396746351,"mikado.Chr02G240/mikado.Chr10G593/mikado.Chr11G871/mikado.Chr05G819/mikado.Chr15G617/mikado.Chr16G406/mikado.Chr18G437/mikado.Chr21G494",8,"Down",0.0506329113924051,"basolateral plasma membrane"
"GO:0042178","xenobiotic catabolic process","3/158","18/11181",0.166666666666667,11.7943037974684,5.48706327689869,0.00193306983448854,0.0419663225358319,0.0366703457000882,"mikado.Chr02G518/mikado.Chr08G154/mikado.Chr12G439",3,"Down",0.0189873417721519,"xenobiotic catabolic process"
"GO:0016460","myosin II complex","3/158","19/11181",0.157894736842105,11.1735509660227,5.31346590311584,0.00227187730308051,0.0482833713149425,0.0421902089746585,"mikado.Chr08G435/mikado.Chr13G64/mikado.Chr04G680",3,"Down",0.0189873417721519,"myosin II complex"
"GO:0046479","glycosphingolipid catabolic process","3/158","19/11181",0.157894736842105,11.1735509660227,5.31346590311584,0.00227187730308051,0.0482833713149425,0.0421902089746585,"mikado.Chr06G106/mikado.Chr06G107/mikado.Chr06G108",3,"Down",0.0189873417721519,"glycosphingolipid catabolic process"
