ID,log2FoldChange,lfcSE,CI_lower,CI_upper
mikado.Chr02G4,0.339469584967631,1.08943989130423,-1.79583260198865,2.47477177192391
mikado.Chr02G6,0.164290309233941,0.497860217907044,-0.811515717863864,1.14009633633175
mikado.Chr02G9,0.119640666645039,0.258052789001981,-0.386142799798845,0.625424133088923
mikado.Chr02G1,-0.73973013214351,0.781156492010119,-2.27079685648334,0.791336592196324
mikado.Chr02G2,-0.47145934868746,0.120054556748171,-0.706766279913876,-0.236152417461044
mikado.Chr02G3,0.0393089895922359,0.142636715577433,-0.240258972939533,0.318876952124004
mikado.Chr02G16,-0.654880720918376,0.465047503307674,-1.56637382740142,0.256612385564666
mikado.Chr02G18,-0.107030745820311,0.341291524406526,-0.775962133657102,0.561900642016481
mikado.Chr02G20,0.00624362806794539,0.122824584450716,-0.234492557455458,0.246979813591349
mikado.Chr02G19,0.0168381098369566,0.195670251158382,-0.366675582433472,0.400351802107385
mikado.Chr02G21,0.225363596434368,0.204469733339159,-0.175397080910385,0.62612427377912
mikado.Chr02G24,0.0992648697642914,0.372944325950296,-0.631706009098288,0.830235748626871
mikado.Chr02G26,-0.542480503864185,0.393480101885604,-1.31370150355997,0.228740495831599
mikado.Chr02G27,0.0956834668724311,0.134043626965263,-0.167042041979484,0.358408975724346
mikado.Chr02G22,0.167532718810392,0.240171901883592,-0.303204208881448,0.638269646502233
mikado.Chr02G23,-0.357415144844106,0.19348301488282,-0.736641854014432,0.0218115643262209
mikado.Chr02G33,0.0204286724279818,0.196235114387627,-0.364192151771767,0.40504949662773
mikado.Chr02G28,0.0378041264943794,0.116719745034782,-0.190966573773794,0.266574826762553
mikado.Chr02G29,0.10315934703289,0.286783577329199,-0.45893646453234,0.66525515859812
mikado.Chr02G30,0.102239945707961,0.141303592060413,-0.174715094730448,0.379194986146371
mikado.Chr02G32,-0.344350407161735,0.151674418401939,-0.641632267229535,-0.0470685470939344
mikado.Chr02G52,0.255277711960319,0.305721380597432,-0.343936194010648,0.854491617931285
mikado.Chr02G56,0.23448330093346,0.415341901101892,-0.579586825226249,1.04855342709317
mikado.Chr02G62,-0.0208992047249235,0.167838353883051,-0.349862378335704,0.308063968885857
mikado.Chr02G63,0.0518890291059106,0.401530831625069,-0.735111400879224,0.838889459091046
mikado.Chr02G64,0.071483646926219,0.162763653867936,-0.247533114654936,0.390500408507374
mikado.Chr02G34,0.384676671449205,0.178357448964056,0.0350960714796551,0.734257271418756
mikado.Chr02G35,-0.0872556153959767,0.120284135063424,-0.323012520120288,0.148501289328335
mikado.Chr02G36,0.141651715112874,0.130270611300983,-0.113678683037053,0.396982113262802
mikado.Chr02G37,-0.00795142020371492,0.141134416995502,-0.284574877514899,0.268672037107469
mikado.Chr02G39,0.131808459266986,0.115421126495999,-0.094416948665171,0.358033867199143
mikado.Chr02G40,0.254890971524547,0.185843278345161,-0.109361854031969,0.619143797081063
mikado.Chr02G42,-0.0900128614059611,0.154688442390313,-0.393202208490975,0.213176485679053
mikado.Chr02G45,-0.764110998478766,0.283385614858907,-1.31954680360222,-0.208675193355307
mikado.Chr02G43,-0.10316223834893,0.159461637516791,-0.41570704788184,0.209382571183981
mikado.Chr02G47,-0.736493965372722,0.196797144684314,-1.12221636895398,-0.350771561791467
mikado.Chr02G48,0.494923361161353,0.195279330763088,0.112175872865701,0.877670849457005
mikado.Chr02G49,-0.112348534099599,0.398895212581256,-0.894183150758859,0.669486082559662
mikado.Chr02G50,-0.0748724815780836,0.142950078649519,-0.35505463573114,0.205309672574973
mikado.Chr02G51,0.392139773953925,0.271871684322076,-0.140728727317343,0.925008275225194
mikado.Chr02G57,0.123951865532978,0.117263796663672,-0.105885175927819,0.353788906993776
mikado.Chr02G58,-0.15636327744012,0.166776503557752,-0.483245224413313,0.170518669533073
mikado.Chr02G59,-0.00141913189188941,0.168467645079384,-0.331615716247481,0.328777452463703
mikado.Chr02G61,0.132015782139042,0.133200055697695,-0.129056327028441,0.393087891306525
mikado.Chr02G60,-0.128729879710286,0.149365205174677,-0.421485681852654,0.164025922432081
mikado.Chr02G68,0.00478002593607532,0.179505809986425,-0.347051361637318,0.356611413509469
mikado.Chr02G67,-0.0106568740000797,0.132366792475492,-0.270095787252043,0.248782039251884
mikado.Chr02G70,0.213562391675023,0.106514039823581,0.00479487362080364,0.422329909729241
mikado.Chr02G78,0.275526103675355,0.114766587876018,0.0505835914383598,0.50046861591235
mikado.Chr02G71,0.186033099742332,0.278852577644529,-0.360517952440944,0.732584151925608
mikado.Chr02G72,-0.093024496534219,0.15471456942034,-0.396265052598086,0.210216059529648
mikado.Chr02G73,0.159487747408784,0.140036109355053,-0.11498302692712,0.433958521744688
mikado.Chr02G74,0.259189685942652,0.594791090772902,-0.906600851972237,1.42498022385754
mikado.Chr02G75,-0.000652752917526034,0.129350143463313,-0.25417903410562,0.252873528270568
mikado.Chr02G76,-0.130263875893084,0.218763380099226,-0.559040100887568,0.298512349101399
mikado.Chr02G77,0.563745885743136,0.518211311031916,-0.45194828387942,1.57944005536569
mikado.Chr02G81,-0.136341957806113,0.157423125514983,-0.44489128381548,0.172207368203254
mikado.Chr02G80,-0.134386636937553,0.335228301866135,-0.791434108595177,0.522660834720071
mikado.Chr02G82,-0.182084114095354,0.147518291925259,-0.471219966268862,0.107051738078153
mikado.Chr02G87,0.70649609919038,0.310771023522624,0.0973848930860367,1.31560730529472
mikado.Chr02G83,-0.00990686858471823,0.145257689845266,-0.294611940681439,0.274798203512003
mikado.Chr02G84,0.131311380617091,0.134353055345511,-0.132020607860111,0.394643369094292
mikado.Chr02G85,0.0770656647356116,0.10680279013528,-0.132267803929536,0.286399133400759
mikado.Chr02G86,-0.0779711675642061,0.125911676137761,-0.324758052794217,0.168815717665805
mikado.Chr02G89,-0.546376401554696,0.220996174528961,-0.979528903631459,-0.113223899477933
mikado.Chr02G88,0.23470437416563,0.125470245061644,-0.0112173061551919,0.480626054486453
mikado.Chr02G109,0.418525911921561,0.643092841884139,-0.841936058171351,1.67898788201447
mikado.Chr02G98,-0.896327678784508,0.45942985052775,-1.7968101858189,0.00415482824988267
mikado.Chr02G108,-0.158164416080049,0.173044033473563,-0.497330721688232,0.181001889528133
mikado.Chr02G110,0.393573667093186,0.424551571635959,-0.438547413313295,1.22569474749967
mikado.Chr02G112,0.227196718463151,0.352373555822644,-0.463455450949231,0.917848887875533
mikado.Chr02G113,0.00366639697688,0.209289523923847,-0.40654106991386,0.41387386386762
mikado.Chr02G114,0.652931552664125,0.413015761582231,-0.156579340037047,1.4624424453653
mikado.Chr02G115,-0.390725231216507,0.250862834436299,-0.882416386711653,0.100965924278639
mikado.Chr02G117,-0.297764189892776,0.478555174136262,-1.23573233119985,0.640203951414297
mikado.Chr02G118,-0.0934425508707956,0.409237816776876,-0.895548671753473,0.708663570011882
mikado.Chr02G119,0.127394738347189,0.184311552694756,-0.233855904934532,0.48864538162891
mikado.Chr02G123,0.368677321423762,0.375177142352035,-0.366669877586226,1.10402452043375
mikado.Chr02G126,-0.303275848331103,0.618876179239406,-1.51627315964034,0.909721462978133
mikado.Chr02G90,0.505319878023236,0.463980033533857,-0.404080987703123,1.4147207437496
mikado.Chr02G91,-0.21310415012232,0.156259850572457,-0.519373457244335,0.0931651569996954
mikado.Chr02G92,-0.470350804745518,0.22360433560887,-0.908615302538903,-0.0320863069521336
mikado.Chr02G93,-0.259661710643636,0.166481067059215,-0.585964602079697,0.0666411807924249
mikado.Chr02G94,-0.246495485298119,0.15913257151874,-0.558395325474849,0.0654043548786105
mikado.Chr02G95,-0.590559513473989,0.391638234777401,-1.3581704536377,0.177051426689717
mikado.Chr02G97,-0.140592388908568,0.383367533610415,-0.891992754784983,0.610807976967846
mikado.Chr02G125,-0.0864203968305874,0.167069203516866,-0.413876035723645,0.241035242062471
mikado.Chr02G128,0.38035204727515,0.208219693511349,-0.0277585520070945,0.788462646557394
mikado.Chr02G129,0.0179222332083752,0.440727055317066,-0.845902795213074,0.881747261629825
mikado.Chr02G130,0.0117057619264389,0.324502767144765,-0.624319661677301,0.647731185530179
mikado.Chr02G131,-0.558077973920753,0.16596967698325,-0.883378540807922,-0.232777407033583
mikado.Chr02G132,0.000121449896305475,0.136895353232333,-0.268193442439066,0.268436342231677
mikado.Chr02G133,-0.23371514349943,0.239166795688821,-0.702482063049519,0.235051776050659
mikado.Chr02G135,0.507509467369585,0.477486145122,-0.428363377069535,1.4433823118087
mikado.Chr02G139,0.106630812478907,0.531823773718513,-0.935743784009379,1.14900540896719
mikado.Chr02G134,-0.050574682081791,0.143746661200112,-0.33231813803401,0.231168773870428
mikado.Chr02G136,0.0925162206335106,0.17141571167458,-0.243458574248667,0.428491015515688
mikado.Chr02G137,0.030858795576118,0.125384474064042,-0.214894773589404,0.27661236474164
mikado.Chr02G138,0.712323528670179,0.451174196440211,-0.171977896352633,1.59662495369299
mikado.Chr02G157,0.20176551667303,0.150932468312401,-0.0940621212192754,0.497593154565335
mikado.Chr02G158,-0.0540991242602739,0.168701745328159,-0.384754545103465,0.276556296582917
