ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mikado.Chr02G9	stable	2554.0623339271	0.123890874033245	0.178910984273575	0.692472150529347	0.48864086934579	0.745614178957694
mikado.Chr02G2	stable	3090.75144639568	0.283517792284312	0.127712812795846	2.21996357356507	0.0264212403964967	0.164830381738557
mikado.Chr02G3	stable	8406.55671681564	0.270888096325495	0.125628160545133	2.15626890619142	0.0310626737447534	0.181206202419374
mikado.Chr02G16	stable	252.284958771641	0.681003609839175	0.458881473290523	1.48405121905635	0.137795333036045	0.404891479640684
mikado.Chr02G18	stable	128.916368128672	-0.132283363344933	0.283883724524659	-0.465977271386134	0.641231769540057	0.837209364737497
mikado.Chr02G20	stable	868.178098404336	0.0430924499921914	0.0953595486511425	0.451894441634137	0.651345028905459	0.843019595999093
mikado.Chr02G19	stable	678.217975292801	-0.0793082136517845	0.184373524120366	-0.430149686784796	0.667086758456643	0.851956174782125
mikado.Chr02G21	stable	5150.9480221927	-0.325994876347749	0.155126752227203	-2.10147425680832	0.0355993554841852	0.195826812771448
mikado.Chr02G24	stable	60.7410842695965	0.0335281457535687	0.399626801908619	0.0838986414160364	0.933137019746714	1
mikado.Chr02G26	stable	48.6767177439699	0.506817152329698	0.336095038261695	1.50795785308521	0.131565314320741	1
mikado.Chr02G27	stable	1415.5843822787	-0.0683164226787458	0.128408530267711	-0.532024021584214	0.594709358272905	0.809112450878604
mikado.Chr02G22	stable	307.932192650383	-0.323697735411305	0.199972722149517	-1.6187094516285	0.105509792300178	0.353217461295729
mikado.Chr02G23	stable	4125.84744093303	0.536159297186664	0.143718760011895	3.73061454984922	0.000191013270549993	0.00700092577970352
mikado.Chr02G33	stable	532.126794507001	-0.0783287921922414	0.17157792303226	-0.456520225958872	0.648015929798334	0.840960587007602
mikado.Chr02G28	stable	7529.58866035959	-0.0372452220007937	0.0883213274484893	-0.421701338473608	0.673243027368459	0.855793422598162
mikado.Chr02G29	stable	128.845264749615	-0.138301846241011	0.315520688782703	-0.438328931058651	0.661147856526393	0.849062401074123
mikado.Chr02G30	stable	5789.01117032105	-0.0337979615092413	0.089133807512987	-0.379182292917498	0.704552499710137	0.871751524887699
mikado.Chr02G32	stable	3569.2766536563	0.435385325479001	0.118499992914625	3.67413798744005	0.000238653741337399	0.00819382187201741
mikado.Chr02G52	stable	2880.43480132485	-0.398786998543933	0.250858699188121	-1.5896877398893	0.111905208569843	0.364577373104984
mikado.Chr02G62	stable	1557.93554652793	0.183051064986825	0.104286955666864	1.75526329075676	0.0792142824800294	0.300380562332998
mikado.Chr02G63	stable	108.100060972576	-0.384367045321327	0.401954589193199	-0.956244948198816	0.338948496007569	0.627546950427367
mikado.Chr02G64	stable	594.776657963299	-0.0123585519224182	0.126296560593923	-0.0978534321465349	0.922048678211568	0.968297671085377
mikado.Chr02G34	stable	2521.41620415155	0.0021104413323733	0.180204208270371	0.01171138761203	0.9906558782406	0.996571754683401
mikado.Chr02G35	stable	2408.32673360168	-0.153961703340588	0.150302491210298	-1.02434565189721	0.305672042361733	0.598133182292141
mikado.Chr02G36	stable	4098.99939548937	-0.255857377302511	0.0829291573346177	-3.08525234701386	0.00203379517687187	0.0348790623249624
mikado.Chr02G37	stable	1273.77608695051	-0.112440746358094	0.132479770273656	-0.848738989551625	0.396026545616905	0.680305648370489
mikado.Chr02G39	stable	2468.54754264876	-0.175238363823303	0.0765385419664041	-2.28954405612041	0.0220477612082582	0.146516807900932
mikado.Chr02G40	stable	1481.94174974583	-0.448568332758904	0.142832037688628	-3.14053023409761	0.00168642299478228	0.0307356160659816
mikado.Chr02G42	stable	3662.0999645523	0.0716783871578521	0.125868664977905	0.569469670393614	0.569037447774105	0.794632175589875
mikado.Chr02G45	stable	43675.5550320539	0.87015662856311	0.270572832156333	3.2159793044571	0.00130000206713774	0.0260717903327872
mikado.Chr02G43	stable	655.708247122203	0.205802281554518	0.110899413452959	1.85575626729364	0.0634883066461753	0.264926668712821
mikado.Chr02G47	stable	289.754721596324	0.403433795039823	0.259693686440138	1.55349866440753	0.120304048093538	0.377582028669094
mikado.Chr02G48	stable	2789.73092851096	0.36252372704337	0.347937488232583	1.04192200985551	0.297447838810318	0.58927159905453
mikado.Chr02G49	stable	115.339030269608	0.279689918124698	0.440941068899012	0.634302263617805	0.525883579529654	0.766744655090848
mikado.Chr02G50	stable	2793.62538036488	0.238935233614926	0.120919608702073	1.97598417808004	0.0481565692031834	0.227144440253403
mikado.Chr02G51	stable	48761.4081186358	-0.529576565517651	0.229133233750696	-2.31121673992453	0.0208208861829153	0.141909556130328
mikado.Chr02G57	stable	2132.13461177329	-0.217787451818282	0.08083390189358	-2.69425880375049	0.00705453643283746	0.0749431074585603
mikado.Chr02G58	stable	562.396457927179	0.169129123321797	0.127098356544497	1.33069480928012	0.183289451694848	0.467676687451356
mikado.Chr02G59	stable	843.578921902278	0.16610021149645	0.127407101830298	1.30369664728493	0.192337033016766	0.481514393653357
mikado.Chr02G61	stable	17423.8684691749	-0.181854120777641	0.110343575641943	-1.64807166814808	0.0993379653538932	0.342427557094503
mikado.Chr02G60	stable	1243.63541155453	0.0795426116210249	0.131657549213133	0.604162937077445	0.545735319384938	0.780710297553014
mikado.Chr02G68	stable	347.619061072625	0.0610996929374795	0.188252038511543	0.324563247338928	0.74551164688125	0.890894244192044
mikado.Chr02G67	stable	3630.72985534478	0.0369868704238248	0.120218496593848	0.307663724566303	0.758338225234882	0.897237349337754
mikado.Chr02G70	stable	8222.96822233699	-0.162634885832244	0.0814991903858571	-1.9955398950867	0.0459840274746519	0.223364181648962
mikado.Chr02G78	stable	1104.48538137057	-0.0978933862091205	0.146052515314458	-0.670261556251542	0.502691069418912	0.753974992074527
mikado.Chr02G71	stable	372.192355337866	-0.0109092001376673	0.224039691386271	-0.0486931582085541	0.961163828368362	0.98425454580297
mikado.Chr02G72	stable	1353.16998466155	-0.594089190957761	0.27393777875698	-2.16870120526457	0.0301053758297948	0.178056000323408
mikado.Chr02G73	stable	2094.27607459987	-0.150313902852819	0.106617873137039	-1.40983775449746	0.158587595753356	0.434979243776289
