ID	CFWKZHG1	CFWKZHG2	CFWKZHG3	CFWKNHG1	CFWKNHG2	CFWKNHG3	CFWKAHG1	CFWKAHG2	CFWKAHG3
mikado.Chr20G534	0	0	0	0	0	0	0	0	0
mikado.Chr20G535	10.07787066	10.7930518	11.16475879	10.45024464	9.643788066	10.62566244	10.51940996	11.26363239	11.52133016
mikado.Chr20G536	0	0	0	0	0	0	0	0	0
mikado.Chr20G537	0	0	0	0	0	0.191223487	0	0	0
mikado.Chr20G538	0	0.424202891	0	0	0	0	0.226784442	0.240791791	0
mikado.Chr20G54	1.727145622	2.009933093	4.092009942	0.574169865	2.399936712	2.359785438	3.208751637	2.187548707	1.898152462
mikado.Chr20G540	3.10470577	3.044359059	4.026424122	2.607643021	2.425966184	2.580581297	3.161802015	3.249358923	2.74330627
mikado.Chr20G55	11.37532017	10.88888078	8.868541731	13.84130284	7.988845119	8.95471105	12.04160311	12.41216126	12.21813371
mikado.Chr20G56	0	0	0	0	0	0	0	0	0
mikado.Chr20G58	0	0	0	0	0	0	0	0	0
mikado.Chr20G59	8.353098641	8.306293487	9.408829789	5.430447302	5.973715985	8.795007582	7.459588152	8.16052494	7.597012906
mikado.Chr20G6	20.64085691	27.69839376	16.67545803	17.58486688	19.26675797	35.02367675	7.829879102	18.00291622	9.044349315
mikado.Chr20G60	13.10962269	11.12643289	11.8813684	9.261519889	9.437798083	6.199076923	10.30395265	9.839350704	10.13083376
mikado.Chr20G63	0	0	0	0	0	0.596885073	0	0	0
mikado.Chr20G64	13.56626178	13.79196712	10.93035964	8.005788836	13.71149522	15.53421762	8.154076473	12.23134183	6.869975278
mikado.Chr20G65	3.498330951	3.760372927	4.872909011	2.615490817	3.629828678	5.6010655	1.244470045	4.725497657	1.227947487
mikado.Chr20G66	0.276889962	0.546225736	0.288158626	0.631893518	0	0.570418695	0.383989691	0	0
mikado.Chr20G67	0	0	0	0	0	0.828145889	0	0	0
mikado.Chr20G68	0.522563331	0.414967381	0.358518299	0.368854579	0.592089835	0.900897139	0.446678358	0.693981495	0
mikado.Chr20G7	13.68479327	14.73827851	14.09111109	15.49668979	14.42094929	19.85863595	15.30820245	16.00137877	14.30267976
mikado.Chr20G70	0	0	0	0	0	0	1.959459149	6.591770405	0
mikado.Chr20G71	0	0	0	0	0	0.403906641	11.88426925	10.61362122	0
mikado.Chr20G73	0	0	0	0	0	0.946348627	30.78809702	37.9707185	0
mikado.Chr20G74	0	0	0	0	0	0.163546853	15.61025589	11.80824564	0
mikado.Chr20G75	0	0	0	0	0	1.889438376	33.19921748	33.45078397	0
mikado.Chr20G77	0	0.321335145	0	0	0	0	20.40448713	20.695192	0
mikado.Chr20G81	0	0	0	0	0.269896934	2.256917128	11.40658403	20.62860601	0
mikado.Chr20G83	0	0	0	0	0.341991534	0.487515364	13.89678452	16.60280115	0.308579316
mikado.Chr20G84	0	0	0	0	0.232887463	0.846124822	8.712643318	10.22010187	0
mikado.Chr20G85	0	0	0	0	0	0	0	0	0
mikado.Chr20G86	1.421870481	1.271367201	1.86786256	0.92208032	1.447426912	0.857518448	1.392021149	1.376130581	1.56834995
mikado.Chr20G87	2.223135833	1.864743586	1.382201297	1.622180268	1.872682448	1.85691858	1.960360463	1.323635129	1.82843189
mikado.Chr20G89	52.76519716	57.36771883	63.72521633	68.1648759	69.69213376	59.23272526	72.88134936	68.95976583	73.98039401
mikado.Chr20G9	6.375807573	6.95973129	7.537911593	6.918894593	6.970830883	4.833884009	6.912210567	7.239897948	7.297222536
mikado.Chr20G90	0.708571782	0.597463958	0.308209629	0	0.349288444	0.67491751	0	0.235224528	0
mikado.Chr20G91	14.27057911	15.45813034	16.86535391	18.64890047	17.55147427	13.83391073	15.20901879	15.19444345	17.12432512
mikado.Chr20G92	64.83081178	65.2684897	65.60477385	67.42830156	67.67141668	57.60222078	60.26994385	56.72726613	58.94364963
mikado.Chr20G93	2.428718365	1.706023616	2.066101136	1.332144503	2.241550899	2.470006309	1.482779169	1.29863309	1.62358372
mikado.Chr20G94	35.96615859	35.02175474	36.30405264	25.14086169	34.13546502	61.11678858	26.62138214	28.20253881	20.46150079
mikado.Chr20G95	131.0246556	132.8375486	134.6650812	129.9321407	124.5153765	151.9269717	114.1262191	124.2390018	88.7679237
mikado.Chr20G96	14.85078669	17.75834767	17.56030413	21.44680203	21.15162394	19.08962627	17.60708974	20.8267136	20.39973661
mikado.Chr20G97	30.38067523	30.8578129	30.84465256	27.41606737	26.57669279	46.33332155	34.72764163	36.85091341	25.22799111
mikado.Chr20G98	1.685270914	1.838955098	1.600898363	1.257155699	1.378016432	2.57093266	1.441174669	1.215064672	1.453405785
mikado.Chr20G99	5.429298914	6.431708199	5.696308816	4.774059272	5.474233705	8.747957587	5.92948793	5.796437032	6.028037627
mikado.Chr21G1	0	0	0	0	0	0	0	0	0
mikado.Chr21G100	17.28980234	16.60686663	17.30625428	17.20469678	13.54241297	13.07648525	18.16264706	20.99205601	14.95316847
mikado.Chr21G101	1.708577364	1.805717771	1.533163231	2.141391068	2.549393498	3.705839648	2.166883856	2.077061164	2.909283461
mikado.Chr21G102	11.96598064	11.75528464	12.71747316	12.72047938	10.75239027	15.19729608	12.1652416	13.43133652	11.03916302
mikado.Chr21G103	24.03041578	26.67474318	24.12644465	23.57404155	24.29081062	27.67105829	21.59743719	21.94565075	19.61564563
mikado.Chr21G104	9.432515745	10.22760059	10.46995843	8.964138423	9.003137303	13.82540195	10.69540185	10.10244686	9.674133475
mikado.Chr21G105	31.6022539	28.73937054	32.80427245	32.72572087	25.29969668	25.41609166	34.25416564	33.99681064	37.04838086
mikado.Chr21G106	10.94301253	11.66765333	11.89132667	13.29590346	11.00263901	10.99071997	11.898004	10.61919777	13.32875343
mikado.Chr21G107	14.71526333	15.79912167	16.11536942	15.98503293	13.55427938	13.79442449	17.1586818	17.62431539	17.70909658
mikado.Chr21G108	4.963234188	4.966824117	4.345723131	4.094667708	5.640615599	2.897759	4.308221215	3.735229232	4.113305347
mikado.Chr21G109	25.36238239	24.53877099	29.49416028	31.92981657	29.42313937	22.48417667	28.75326805	25.54941229	28.4507192
mikado.Chr21G11	9.645550612	11.61609324	12.36644358	12.66807059	12.20772452	18.04320743	13.43728816	12.21776333	11.52603852
mikado.Chr21G110	0	0	0	0	0	0	0	0	0
mikado.Chr21G112	3.863667926	4.067458811	3.565503549	4.268389747	4.25054552	4.607496931	3.953504687	3.836165727	4.515223077
mikado.Chr21G115	3.723657831	3.917441353	3.457186049	3.765551144	3.718870033	2.426555088	3.167822094	4.288854553	3.770624722
mikado.Chr21G116	7.34303032	6.401434267	6.771158566	4.283401591	5.807210708	3.398168367	4.533096024	5.949361597	5.003101557
mikado.Chr21G117	32.96842412	31.9345428	32.49529917	37.93685135	33.04935098	37.21877477	35.83521069	35.85985139	30.76999436
mikado.Chr21G118	16.50185061	17.27451089	20.20704167	21.60346506	17.3869442	19.44803023	21.55431198	22.66933825	22.94918335
mikado.Chr21G119	3.974093072	4.667551163	5.243164357	4.675921	4.63936629	3.490338486	4.471780935	4.620412896	5.367440657
mikado.Chr21G12	17.07126476	18.150337	18.04911854	21.18545715	18.99226123	19.98438466	19.58125698	21.07377146	21.04269071
mikado.Chr21G120	4.029170896	3.597352373	3.791033455	3.668204795	3.254604924	4.073975438	4.132349708	3.689686586	4.426975582
mikado.Chr21G121	15.92750769	16.71541156	18.27679262	18.77603476	19.07748962	17.05882459	19.71630183	16.33658543	15.83909499
mikado.Chr21G123	7.261525965	6.971642114	6.26598722	5.000155399	7.733076614	6.959775503	7.271966635	6.674876976	7.803750552
mikado.Chr21G124	1.505248914	0.82357444	0.91556257	1.024589477	1.744218079	1.186238392	0.79344974	0.863881983	1.26299905
mikado.Chr21G125	35.83876639	37.83082035	40.98973034	45.83024832	40.27482369	38.14322357	45.77330797	47.78585705	48.4209451
mikado.Chr21G126	252.9426202	250.1001736	253.0449194	289.2939299	287.1563107	158.0243671	255.7961704	237.0704132	288.6587883
mikado.Chr21G127	2.449550851	2.591898809	2.588109782	2.302569899	2.067125303	4.66184829	2.433129604	2.507235612	2.206785729
mikado.Chr21G128	44.13999975	46.67057671	46.17283612	42.37308597	49.60968035	55.81544592	40.25774242	41.77233393	39.03311082
mikado.Chr21G129	11.415137	12.24438759	11.11752526	10.88799961	10.16240769	14.92917859	12.16672836	12.53102525	12.09651323
mikado.Chr21G13	25.98961895	25.59490725	28.12912473	29.91301259	28.0336927	25.54711302	32.05571829	27.76256334	27.67636006
mikado.Chr21G130	1.05858349	1.524968387	1.207139156	1.517925001	1.153527667	1.706945523	1.361313703	1.381314055	1.200547015
mikado.Chr21G131	17.91926479	19.78898043	20.42790755	21.07959661	20.97693426	15.79293036	20.71706516	18.74362425	17.54036059
mikado.Chr21G132	0	0	0	0.453143379	0	0.286817454	0.326392009	0	0
mikado.Chr21G133	8.356541217	8.684022299	8.524689866	9.2382898	9.157514254	10.23479131	8.491392287	7.953009417	8.338005193
mikado.Chr21G134	1.059059339	0.588743616	0.57959254	0.510677215	1.15341619	0.471686735	0.42904717	0.675042021	0.995772413
mikado.Chr21G135	32.92689784	33.44341238	33.98498144	31.80309253	33.51159326	44.12807572	35.52486948	34.42525665	31.99573848
mikado.Chr21G136	6.190692184	5.772270982	6.530499314	6.633234817	6.757255014	4.482813415	6.85823872	4.929680813	4.999987171
mikado.Chr21G137	27.51882269	22.97014365	25.38060179	25.23752633	23.98690869	20.86889497	24.15571777	25.00300647	25.42874398
mikado.Chr21G138	9.980672307	10.53387759	10.14480681	9.315752344	10.27482253	6.369762302	8.638788027	7.882747231	9.429297316
mikado.Chr21G139	3.216698286	3.124266587	3.65425246	3.628019793	2.956411087	6.004731797	4.012419358	4.441466883	3.678936688
mikado.Chr21G140	5.144976913	4.95131743	4.857360887	4.154246666	4.541110178	4.394606853	4.590459117	5.592186968	6.220760533
mikado.Chr21G141	0.751824422	0.763888006	0.961329357	0	0.391051404	1.098193245	0.630789277	0.640370917	0.551874222
mikado.Chr21G143	1.643401845	1.178039937	0.914232337	0.752228092	0.550839887	4.044900821	0.352032135	0.511183653	0.549954092
mikado.Chr21G144	2.986881286	2.538384084	2.554695892	2.338645269	2.52362811	3.066500288	3.068219672	2.885633863	2.690393576
mikado.Chr21G145	6.525644738	6.821403199	6.214183065	7.759164956	6.929385038	7.561352989	7.476382846	6.647457904	7.467783025
mikado.Chr21G147	25.34501954	22.73380392	24.9010477	25.24656201	23.37609712	38.97759425	24.79612415	24.58239516	20.98200921
mikado.Chr21G148	40.26354705	36.13639696	43.64753263	44.11584879	29.76531923	75.21778858	44.50107724	48.71349353	36.00232214
mikado.Chr21G149	2.051531398	2.573337704	2.646484016	2.72694687	1.895923898	3.03176619	2.931399969	2.660354394	2.027292835
mikado.Chr21G15	0	0.289915454	0.33264958	0	0.33446301	0.384883133	0	0.228483595	0
mikado.Chr21G150	1.839562116	1.050557613	2.029761965	1.606176479	1.301934615	4.772558383	1.742026356	2.30239546	1.029003164
mikado.Chr21G151	45.69275688	47.58754128	53.57392874	61.32266009	57.81440774	45.19893222	63.01469667	65.72919677	62.06388374
mikado.Chr21G152	38.70916391	39.03716082	39.47101389	44.5594146	39.58061715	47.74747299	42.50782292	44.5915723	41.93245154
mikado.Chr21G153	120.6066962	134.9003293	134.2193773	159.4174984	139.3162922	142.2465102	164.6958346	167.0805448	173.353334
mikado.Chr21G154	47.17543454	46.29890043	43.44320844	51.01142247	44.64385471	46.27668905	53.91477633	51.56616429	51.67749126
