"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","transcript_id","DE"
10.5147622849188,-0.81703558091837,0.701179755820155,-1.16522984888903,0.243925966343456,NA,"TRINITY_DN100007_c0_g1_i1","Not significant"
2.11574023926321,0.64833722623271,1.59072301411974,0.407573927376339,0.683586509104981,NA,"TRINITY_DN100067_c0_g1_i1","Not significant"
1.40745180425153,1.78567874725128,2.02639122576272,0.881211251089564,0.378203490732947,NA,"TRINITY_DN100071_c0_g1_i1","Not significant"
1.46403385084999,0.433356478578126,2.28589814715767,0.18957820982399,0.849639663584007,NA,"TRINITY_DN100072_c0_g1_i1","Not significant"
2.18289936558514,-1.13355097001561,1.53354397826502,-0.739170826583045,0.459803273317346,NA,"TRINITY_DN100075_c0_g2_i1","Not significant"
1.93135724512723,1.04328824416652,1.81242049842125,0.575632556062626,0.564863570876394,NA,"TRINITY_DN100075_c0_g3_i1","Not significant"
2.29915655632934,-0.063762105951762,1.48708914588685,-0.0428771241644268,0.965799484248873,NA,"TRINITY_DN100100_c0_g1_i1","Not significant"
3.97053459945783,0.107699315407954,1.35929538856448,0.0792317227837378,0.936848312765737,NA,"TRINITY_DN100122_c0_g1_i1","Not significant"
1.2053074035945,1.71719674729649,2.34855814421508,0.731170634002079,0.464674934745389,NA,"TRINITY_DN100128_c0_g2_i1","Not significant"
34.6387724194161,-0.36399946889957,0.407525474289689,-0.893194393636413,0.371753079898236,NA,"TRINITY_DN100140_c0_g1_i1","Not significant"
1.11166801985259,0.468699732899073,2.72525424496821,0.171983855731794,0.86345022114099,NA,"TRINITY_DN100143_c0_g2_i1","Not significant"
9.84906781909457,-0.773672022108613,0.744848056894597,-1.03869777862372,0.298945314607973,NA,"TRINITY_DN100145_c0_g1_i1","Not significant"
2.14322394469975,-1.5033729552915,1.73074469741616,-0.868627797927621,0.385050744915789,NA,"TRINITY_DN100151_c0_g1_i1","Not significant"
5.09383566417145,-0.0224519303046584,0.928918150258288,-0.0241699769763521,0.980717026033533,NA,"TRINITY_DN100157_c0_g2_i1","Not significant"
6.72010159172733,-0.910708191296225,1.1646254140895,-0.781975200161856,0.434229148382746,NA,"TRINITY_DN100189_c0_g1_i1","Not significant"
19.6625917065915,-0.0134308235537892,0.626361043621044,-0.0214426227342373,0.982892573346687,NA,"TRINITY_DN100189_c0_g2_i1","Not significant"
1.88855498276376,-0.0813940707954254,2.01012556698219,-0.0404920330015117,0.967700858577875,NA,"TRINITY_DN100193_c0_g1_i1","Not significant"
2.96914239682526,-1.19150084865945,1.4385199584733,-0.828282459093569,0.407510554346063,NA,"TRINITY_DN100203_c0_g1_i1","Not significant"
1.53575051460691,3.88960777600535,2.32709486544863,1.67144358133225,0.094634093779033,NA,"TRINITY_DN100227_c0_g1_i1","Not significant"
2.18627760334765,-0.297003706050056,1.63009869627579,-0.182199830432725,0.855425906061533,NA,"TRINITY_DN100228_c0_g1_i1","Not significant"
13.2749702049414,0.908573179539367,0.955855726108774,0.950533804131831,0.341841085843733,NA,"TRINITY_DN100234_c0_g1_i1","Not significant"
1.27192326937924,0.952609035378191,2.6541603094562,0.35891164221854,0.719661189903984,NA,"TRINITY_DN100239_c0_g1_i1","Not significant"
3.73954834884294,-0.0396098500130851,1.15775877076671,-0.03421252424359,0.972707679486154,NA,"TRINITY_DN100251_c0_g1_i1","Not significant"
