ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mikado.Chr02G9	stable	2554.0623339271	0.0407495704154623	0.240762351913401	0.169252252653352	0.865598230922417	0.954001485970487
mikado.Chr02G2	stable	3090.75144639568	-0.217309140303883	0.112384967058066	-1.93361395204758	0.0531606105537027	0.271842264011328
mikado.Chr02G3	stable	8406.55671681564	0.329140439094001	0.113013493280081	2.91239948028412	0.00358663617372136	0.0470796497997367
mikado.Chr02G16	stable	252.284958771641	-0.392127082944427	0.494843313859441	-0.792426758050145	0.428111882331076	0.743539230951285
mikado.Chr02G18	stable	128.916368128672	0.176044978725132	0.338463934043137	0.520129210288901	0.602973520483065	0.842636413434562
mikado.Chr02G20	stable	868.178098404336	0.0593566544768616	0.0868548553628059	0.683400533325626	0.494353783119637	0.782490564044485
mikado.Chr02G19	stable	678.217975292801	-0.295254315879374	0.162999991271046	-1.81137626804168	0.0700826269959143	0.316958426879323
mikado.Chr02G21	stable	5150.9480221927	0.119296209382502	0.185813325868401	0.642021818537338	0.520859016505989	0.79725180459936
mikado.Chr02G24	stable	60.7410842695965	0.100732430178762	0.3946245978259	0.255261407255722	0.798521205320574	0.928995052845499
mikado.Chr02G26	stable	48.6767177439699	-0.12547756165916	0.325723348857603	-0.385227408778775	0.700068938141964	0.885353305346103
mikado.Chr02G27	stable	1415.5843822787	0.0705941794442475	0.123159150887408	0.573194756017642	0.566512834614517	0.821475705651638
mikado.Chr02G22	stable	307.932192650383	0.103226441402759	0.235742957812164	0.437877094445417	0.661475380794994	0.868223926822935
mikado.Chr02G23	stable	4125.84744093303	0.0575603273869666	0.181211894628376	0.317640999808593	0.750757270194435	0.908717089283185
mikado.Chr02G33	stable	532.126794507001	-0.11569207669296	0.163547890991724	-0.707389596964076	0.479324399981832	0.775120729834206
mikado.Chr02G28	stable	7529.58866035959	-0.0402510291921012	0.0852092232697896	-0.472378783041576	0.636656445778514	0.857051751502087
mikado.Chr02G29	stable	128.845264749615	0.384367101461764	0.309173647120752	1.24320783818824	0.213791255085177	0.55064898903078
mikado.Chr02G30	stable	5789.01117032105	-0.0133761119111992	0.104115266637026	-0.128474068628494	0.897773818381709	0.965630934150157
mikado.Chr02G32	stable	3569.2766536563	0.0150263232429234	0.133330069507512	0.112700183075182	0.910268256102381	0.967682209555172
