ID,log2FoldChange,lfcSE,CI_lower,CI_upper
mikado.Chr02G4,-1.07108036323108,1.04288808601508,-3.11514101182064,0.972980285358488
mikado.Chr02G6,-0.0250654399144788,0.492534445356931,-0.990432952814064,0.940302072985107
mikado.Chr02G9,0.00139762387724895,0.257938947658846,-0.50416271353409,0.506957961288588
mikado.Chr02G1,-0.396453473812652,0.786022531126879,-1.93705763482134,1.14415068719603
mikado.Chr02G2,-0.218066986526467,0.12011053116867,-0.45348362761706,0.0173496545641264
mikado.Chr02G3,0.318981419528539,0.142661055902961,0.0393657499587357,0.598597089098342
mikado.Chr02G16,-0.578042522331953,0.464883578177093,-1.48921433555906,0.333129290895149
mikado.Chr02G18,0.0909773040038817,0.341367777480286,-0.578103539857478,0.760058147865242
mikado.Chr02G20,0.053017572028159,0.122511547240756,-0.187105060563722,0.29314020462004
mikado.Chr02G19,-0.309455107795433,0.194726400494334,-0.691118852764328,0.0722086371734617
mikado.Chr02G21,0.0939174269499272,0.204391314146971,-0.306689548778136,0.494524402677991
mikado.Chr02G24,0.119973353889117,0.370958060609566,-0.607104444905632,0.847051152683866
mikado.Chr02G26,-0.136379354305958,0.396499413056086,-0.913518203895885,0.64075949528397
mikado.Chr02G27,0.056704732249692,0.133742821026733,-0.205431196962704,0.318840661462088
mikado.Chr02G22,0.0594832695514298,0.239129493255113,-0.409210537228591,0.528177076331451
mikado.Chr02G23,0.0358250156375497,0.193554997882272,-0.343542780211704,0.415192811486803
mikado.Chr02G33,-0.125378097973971,0.195447684331187,-0.508455559263096,0.257699363315155
mikado.Chr02G28,-0.046078462409773,0.116644410561264,-0.274701507109851,0.182544582290305
mikado.Chr02G29,0.323470330015701,0.287098722977401,-0.239243167020005,0.886183827051408
mikado.Chr02G30,-0.0167369233973653,0.141209817157677,-0.293508165026411,0.260034318231681
mikado.Chr02G32,0.0019110174992034,0.151756395592159,-0.295531517861429,0.299353552859835
mikado.Chr02G52,0.334718913596444,0.305688767975539,-0.264431071635612,0.9338688988285
mikado.Chr02G56,0.0717415832864949,0.410304944300799,-0.732456107543072,0.875939274116062
mikado.Chr02G62,0.0634190324721413,0.167750576134043,-0.265372096750584,0.392210161694866
mikado.Chr02G63,0.116244219787551,0.400661092371318,-0.669051521260231,0.901539960835334
mikado.Chr02G64,0.0180376570051246,0.162145627958953,-0.299767773794423,0.335843087804672
mikado.Chr02G34,0.404156689576979,0.178260814834531,0.0547654925012983,0.75354788665266
mikado.Chr02G35,-0.330691645285236,0.119928274008821,-0.565751062342526,-0.0956322282279461
mikado.Chr02G36,-0.0704258512844612,0.130081837253972,-0.325386252302246,0.184534549733323
mikado.Chr02G37,-0.196168522549876,0.140622719797859,-0.47178905335368,0.0794520082539286
mikado.Chr02G39,-0.015980809152826,0.115125113435476,-0.241626031486358,0.209664413180706
mikado.Chr02G40,-0.081824502997439,0.185342773833243,-0.445096339710595,0.281447333715717
mikado.Chr02G42,-0.0945531833089138,0.154609399383864,-0.397587606101288,0.20848123948346
mikado.Chr02G45,-0.259228121260927,0.283392413177069,-0.814677251087981,0.296221008566128
mikado.Chr02G43,0.0324241684880407,0.159375902395033,-0.279952600206225,0.344800937182306
mikado.Chr02G47,-0.598400771643728,0.196660903744132,-0.983856142982226,-0.21294540030523
mikado.Chr02G48,1.15759808689153,0.195580832229358,0.774259655721991,1.54093651806108
mikado.Chr02G49,0.793096855425507,0.403498457601324,0.00223987852691221,1.5839538323241
