ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Direction
GO:0003756	protein disulfide isomerase activity	28/4589	224/85133	0.125	2.31894203530181	4.71804094848368	3.30780885152376e-05	0.00573108511386227	0.00554589940194071	TRINITY_DN105230_c0_g1_i1/TRINITY_DN112926_c0_g1_i1/TRINITY_DN123904_c0_g1_i1/TRINITY_DN124948_c0_g1_i1/TRINITY_DN128728_c0_g1_i1/TRINITY_DN132107_c0_g1_i1/TRINITY_DN134299_c0_g1_i1/TRINITY_DN137483_c0_g1_i1/TRINITY_DN138324_c0_g1_i1/TRINITY_DN148501_c0_g1_i1/TRINITY_DN151235_c0_g1_i1/TRINITY_DN152806_c0_g1_i1/TRINITY_DN156018_c0_g1_i1/TRINITY_DN158201_c0_g1_i1/TRINITY_DN165668_c0_g1_i1/TRINITY_DN171842_c1_g1_i1/TRINITY_DN179022_c0_g1_i2/TRINITY_DN179417_c1_g1_i2/TRINITY_DN179789_c0_g1_i1/TRINITY_DN195137_c0_g12_i4/TRINITY_DN195137_c0_g2_i2/TRINITY_DN195137_c0_g8_i4/TRINITY_DN23723_c0_g1_i1/TRINITY_DN357641_c0_g1_i1/TRINITY_DN70144_c0_g1_i1/TRINITY_DN70144_c0_g2_i1/TRINITY_DN78575_c0_g1_i1/TRINITY_DN93601_c0_g1_i1	28	Down
GO:0045216	cell-cell junction organization	6/162	495/85133	0.0121212121212121	6.36984661429106	5.23179049606613	0.00039914934259501	0.00605174912358696	0.0052880391374097	TRINITY_DN154783_c0_g1_i2/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	6	Up
GO:0030985	high molecular weight kininogen binding	12/4589	56/85133	0.214285714285714	3.97532920337453	5.31632845590592	3.5870586520122e-05	0.00610191286331385	0.00590474477817358	TRINITY_DN114833_c0_g1_i1/TRINITY_DN149944_c0_g1_i1/TRINITY_DN149944_c0_g2_i1/TRINITY_DN163990_c0_g7_i1/TRINITY_DN183218_c1_g3_i2/TRINITY_DN187379_c3_g16_i1/TRINITY_DN187379_c3_g18_i1/TRINITY_DN187379_c3_g24_i1/TRINITY_DN187379_c3_g24_i4/TRINITY_DN187379_c3_g24_i5/TRINITY_DN187379_c3_g5_i1/TRINITY_DN187379_c3_g7_i1	12	Down
GO:0034058	endosomal vesicle fusion	28/4589	226/85133	0.123893805309735	2.29842042436993	4.66537609671184	3.88454658858824e-05	0.00640779128962956	0.00620073950654844	TRINITY_DN106045_c0_g1_i1/TRINITY_DN108244_c0_g1_i1/TRINITY_DN128865_c0_g1_i1/TRINITY_DN129873_c0_g1_i1/TRINITY_DN131830_c0_g1_i1/TRINITY_DN132494_c2_g1_i1/TRINITY_DN133663_c0_g1_i1/TRINITY_DN141216_c0_g1_i1/TRINITY_DN143248_c0_g4_i1/TRINITY_DN146986_c0_g1_i1/TRINITY_DN151168_c0_g1_i1/TRINITY_DN151168_c0_g2_i1/TRINITY_DN152631_c0_g1_i1/TRINITY_DN157018_c0_g1_i1/TRINITY_DN160701_c0_g1_i1/TRINITY_DN163117_c0_g1_i1/TRINITY_DN167062_c0_g1_i1/TRINITY_DN167670_c0_g1_i1/TRINITY_DN167710_c0_g3_i1/TRINITY_DN171785_c0_g2_i1/TRINITY_DN172782_c0_g1_i1/TRINITY_DN175408_c1_g1_i1/TRINITY_DN175992_c0_g1_i1/TRINITY_DN176912_c0_g1_i1/TRINITY_DN184921_c0_g1_i2/TRINITY_DN191919_c1_g6_i2/TRINITY_DN358587_c0_g1_i1/TRINITY_DN97209_c0_g1_i1	28	Down
GO:0000155	phosphorelay sensor kinase activity	10/4589	40/85133	0.25	4.63788407060362	5.49314146199151	3.90384890454131e-05	0.00640779128962956	0.00620073950654844	TRINITY_DN154293_c0_g1_i1/TRINITY_DN164723_c0_g1_i1/TRINITY_DN182326_c0_g1_i1/TRINITY_DN186234_c0_g1_i1/TRINITY_DN186234_c0_g1_i3/TRINITY_DN186950_c0_g1_i1/TRINITY_DN188416_c0_g2_i1/TRINITY_DN194232_c0_g2_i2/TRINITY_DN194232_c0_g2_i3/TRINITY_DN194829_c0_g2_i1	10	Down
GO:0097576	vacuole fusion	19/4589	125/85133	0.152	2.819833514927	4.86010459928187	4.21776922881073e-05	0.00680369808702642	0.00658385356388405	TRINITY_DN108611_c0_g1_i1/TRINITY_DN114697_c0_g1_i1/TRINITY_DN134497_c0_g1_i1/TRINITY_DN140620_c1_g4_i1/TRINITY_DN150658_c0_g1_i1/TRINITY_DN152631_c0_g1_i1/TRINITY_DN154860_c0_g1_i1/TRINITY_DN155770_c0_g1_i1/TRINITY_DN160701_c0_g1_i1/TRINITY_DN160778_c0_g1_i1/TRINITY_DN167160_c0_g1_i1/TRINITY_DN17499_c0_g1_i1/TRINITY_DN177363_c0_g1_i1/TRINITY_DN177363_c0_g1_i2/TRINITY_DN183019_c2_g10_i4/TRINITY_DN32934_c0_g1_i1/TRINITY_DN358587_c0_g1_i1/TRINITY_DN54549_c0_g1_i1/TRINITY_DN91154_c0_g1_i1	19	Down
GO:0015976	carbon utilization	13/4589	67/85133	0.194029850746269	3.59955181599087	5.08097109263188	5.21138214702283e-05	0.00826401548602468	0.00799698445076599	TRINITY_DN114833_c0_g1_i1/TRINITY_DN149944_c0_g1_i1/TRINITY_DN149944_c0_g2_i1/TRINITY_DN160881_c0_g1_i1/TRINITY_DN163990_c0_g7_i1/TRINITY_DN183218_c1_g3_i2/TRINITY_DN187379_c3_g16_i1/TRINITY_DN187379_c3_g18_i1/TRINITY_DN187379_c3_g24_i1/TRINITY_DN187379_c3_g24_i4/TRINITY_DN187379_c3_g24_i5/TRINITY_DN187379_c3_g5_i1/TRINITY_DN187379_c3_g7_i1	13	Down
GO:1903392	negative regulation of adherens junction organization	11/4589	50/85133	0.22	4.08133798213118	5.20225686854864	5.82559110616971e-05	0.00908403839822064	0.00879051036915188	TRINITY_DN145247_c0_g1_i1/TRINITY_DN148212_c0_g1_i1/TRINITY_DN157370_c0_g1_i1/TRINITY_DN160431_c0_g2_i1/TRINITY_DN167636_c0_g1_i1/TRINITY_DN167636_c1_g1_i1/TRINITY_DN179470_c0_g1_i1/TRINITY_DN186777_c0_g1_i2/TRINITY_DN186777_c0_g3_i1/TRINITY_DN190617_c1_g7_i1/TRINITY_DN190617_c1_g7_i4	11	Down
GO:1903479	mitotic actomyosin contractile ring assembly actin filament organization	8/4589	27/85133	0.296296296296296	5.49675149108577	5.57814154133623	6.23391269500992e-05	0.00956139134008406	0.00925243884206735	TRINITY_DN186768_c0_g1_i1/TRINITY_DN194582_c1_g16_i1/TRINITY_DN194582_c1_g16_i2/TRINITY_DN194582_c1_g16_i3/TRINITY_DN194582_c1_g2_i1/TRINITY_DN194582_c1_g6_i1/TRINITY_DN194582_c1_g6_i2/TRINITY_DN86127_c0_g1_i1	8	Down
GO:0035542	regulation of SNARE complex assembly	25/4589	197/85133	0.126903553299492	2.35425587340285	4.5423101936363	6.62350556722147e-05	0.00999508356240711	0.0096721173826268	TRINITY_DN105230_c0_g1_i1/TRINITY_DN114697_c0_g1_i1/TRINITY_DN134497_c0_g1_i1/TRINITY_DN134724_c0_g1_i1/TRINITY_DN137651_c0_g1_i1/TRINITY_DN140973_c0_g1_i1/TRINITY_DN143445_c1_g1_i1/TRINITY_DN143512_c0_g1_i1/TRINITY_DN150658_c0_g1_i1/TRINITY_DN152631_c0_g1_i1/TRINITY_DN152984_c1_g1_i1/TRINITY_DN154860_c0_g1_i1/TRINITY_DN155770_c0_g1_i1/TRINITY_DN157018_c0_g1_i1/TRINITY_DN159334_c0_g1_i1/TRINITY_DN160701_c0_g1_i1/TRINITY_DN160778_c0_g1_i1/TRINITY_DN160986_c0_g1_i1/TRINITY_DN167710_c0_g3_i1/TRINITY_DN167939_c0_g1_i1/TRINITY_DN168313_c0_g1_i1/TRINITY_DN195428_c5_g1_i1/TRINITY_DN358587_c0_g1_i1/TRINITY_DN54549_c0_g1_i1/TRINITY_DN91154_c0_g1_i1	25	Down
GO:0033263	CORVET complex	19/4589	132/85133	0.143939393939394	2.67029688913542	4.58413575556972	8.98271964072481e-05	0.0133074344946068	0.0128774379613547	TRINITY_DN105230_c0_g1_i1/TRINITY_DN114697_c0_g1_i1/TRINITY_DN134497_c0_g1_i1/TRINITY_DN134724_c0_g1_i1/TRINITY_DN143445_c1_g1_i1/TRINITY_DN143512_c0_g1_i1/TRINITY_DN150658_c0_g1_i1/TRINITY_DN152984_c1_g1_i1/TRINITY_DN154860_c0_g1_i1/TRINITY_DN155770_c0_g1_i1/TRINITY_DN157018_c0_g1_i1/TRINITY_DN160701_c0_g1_i1/TRINITY_DN160778_c0_g1_i1/TRINITY_DN160986_c0_g1_i1/TRINITY_DN167710_c0_g3_i1/TRINITY_DN168313_c0_g1_i1/TRINITY_DN358587_c0_g1_i1/TRINITY_DN54549_c0_g1_i1/TRINITY_DN91154_c0_g1_i1	19	Down
GO:0009784	transmembrane receptor histidine kinase activity	5/4589	10/85133	0.5	9.27576814120724	6.2470316210582	9.10299067608843e-05	0.0133074344946068	0.0128774379613547	TRINITY_DN182326_c0_g1_i1/TRINITY_DN188416_c0_g2_i1/TRINITY_DN194232_c0_g2_i2/TRINITY_DN194232_c0_g2_i3/TRINITY_DN194829_c0_g2_i1	5	Down
GO:0004816	asparagine-tRNA ligase activity	2/162	24/85133	0.0833333333333333	43.792695473251	9.15495219610346	0.000966270844177232	0.0145037253711003	0.0126734049667877	TRINITY_DN186112_c0_g1_i1/TRINITY_DN186112_c0_g1_i2	2	Up
GO:0006421	asparaginyl-tRNA aminoacylation	2/162	25/85133	0.08	42.040987654321	8.96130329396645	0.00104898270663783	0.0155893370560731	0.0136220161799973	TRINITY_DN186112_c0_g1_i1/TRINITY_DN186112_c0_g1_i2	2	Up
GO:0015695	organic cation transport	26/4589	216/85133	0.12037037037037	2.23305529325359	4.33112737499074	0.000116047278424868	0.0166774268501339	0.0161385374246756	TRINITY_DN145710_c0_g1_i1/TRINITY_DN160530_c0_g1_i1/TRINITY_DN161883_c0_g2_i1/TRINITY_DN161883_c0_g4_i1/TRINITY_DN161883_c0_g4_i2/TRINITY_DN161883_c0_g4_i4/TRINITY_DN161883_c0_g4_i5/TRINITY_DN175612_c1_g1_i1/TRINITY_DN175612_c2_g1_i1/TRINITY_DN175612_c2_g1_i2/TRINITY_DN175612_c2_g1_i3/TRINITY_DN183042_c0_g1_i2/TRINITY_DN188303_c2_g1_i1/TRINITY_DN188303_c3_g30_i1/TRINITY_DN188303_c3_g32_i1/TRINITY_DN188303_c3_g38_i1/TRINITY_DN188303_c3_g53_i1/TRINITY_DN188303_c3_g53_i2/TRINITY_DN188303_c3_g53_i4/TRINITY_DN188303_c3_g58_i1/TRINITY_DN188303_c3_g66_i1/TRINITY_DN188303_c3_g66_i2/TRINITY_DN188303_c3_g66_i3/TRINITY_DN218637_c0_g1_i1/TRINITY_DN23782_c0_g2_i1/TRINITY_DN33527_c0_g1_i1	26	Down
GO:0044380	protein localization to cytoskeleton	33/4589	304/85133	0.108552631578947	2.01381808328841	4.22681754631868	0.000119148045807719	0.0166774268501339	0.0161385374246756	TRINITY_DN101082_c0_g1_i1/TRINITY_DN109452_c0_g1_i1/TRINITY_DN113800_c0_g1_i1/TRINITY_DN117687_c0_g2_i1/TRINITY_DN124139_c0_g1_i1/TRINITY_DN127360_c0_g1_i1/TRINITY_DN129638_c0_g1_i1/TRINITY_DN136180_c0_g1_i1/TRINITY_DN140620_c1_g4_i1/TRINITY_DN140690_c0_g1_i1/TRINITY_DN148184_c0_g1_i1/TRINITY_DN158680_c0_g1_i1/TRINITY_DN15892_c0_g1_i1/TRINITY_DN163194_c0_g1_i1/TRINITY_DN167160_c0_g1_i1/TRINITY_DN167298_c0_g1_i2/TRINITY_DN167298_c0_g2_i1/TRINITY_DN167795_c0_g1_i1/TRINITY_DN168044_c10_g1_i1/TRINITY_DN168923_c0_g1_i1/TRINITY_DN169342_c4_g1_i1/TRINITY_DN171607_c0_g1_i1/TRINITY_DN175022_c2_g2_i1/TRINITY_DN175022_c2_g2_i4/TRINITY_DN176364_c0_g1_i1/TRINITY_DN183019_c2_g10_i4/TRINITY_DN186307_c0_g1_i2/TRINITY_DN192786_c0_g1_i1/TRINITY_DN31827_c0_g1_i1/TRINITY_DN33918_c0_g1_i1/TRINITY_DN40422_c0_g1_i1/TRINITY_DN91767_c0_g1_i1/TRINITY_DN91776_c0_g1_i1	33	Down
GO:0046855	obsolete inositol phosphate dephosphorylation	9/4589	37/85133	0.243243243243243	4.5125358524792	5.10100682721409	0.000119430055468039	0.0166774268501339	0.0161385374246756	TRINITY_DN148212_c0_g1_i1/TRINITY_DN157370_c0_g1_i1/TRINITY_DN164817_c0_g1_i1/TRINITY_DN167636_c0_g1_i1/TRINITY_DN167636_c1_g1_i1/TRINITY_DN177805_c0_g1_i1/TRINITY_DN177805_c0_g1_i3/TRINITY_DN190617_c1_g7_i1/TRINITY_DN190617_c1_g7_i4	9	Down
