ID,log2FoldChange,lfcSE,CI_lower,CI_upper
mikado.Chr02G4,-1.41054994819871,1.07148989955885,-3.51067015133405,0.689570254936634
mikado.Chr02G6,-0.18935574914842,0.500140939521116,-1.16963199060981,0.790920492312967
mikado.Chr02G9,-0.11824304276779,0.258127314614523,-0.624172579412256,0.387686493876676
mikado.Chr02G1,0.343276658330857,0.777373167694629,-1.18037475035061,1.86692806701233
mikado.Chr02G2,0.253392362160994,0.1200507962919,0.0180928014288699,0.488691922893117
mikado.Chr02G3,0.279672429936303,0.142739021149642,-9.60515169958209e-05,0.559440911389602
mikado.Chr02G16,0.0768381985864225,0.464364145549961,-0.8333155266915,0.986991923864345
mikado.Chr02G18,0.198008049824192,0.342635873583057,-0.473558262398599,0.869574362046983
mikado.Chr02G20,0.0467739439602136,0.123342606650829,-0.194977565075411,0.288525452995838
mikado.Chr02G19,-0.32629321763239,0.195500618497327,-0.709474429887151,0.056887994622371
mikado.Chr02G21,-0.131446169484441,0.20452677267052,-0.53231864391866,0.269426304949778
mikado.Chr02G24,0.0207084841248253,0.375693928641162,-0.715651616011852,0.757068584261502
mikado.Chr02G26,0.406101149558227,0.394484291674314,-0.367088062123429,1.17929036123988
mikado.Chr02G27,-0.0389787346227391,0.134332231124129,-0.302269907626031,0.224312438380553
mikado.Chr02G22,-0.108049449258963,0.240850212357658,-0.580115865479972,0.364016966962047
mikado.Chr02G23,0.393240160481656,0.193561958443734,0.0138587219319376,0.772621599031374
mikado.Chr02G33,-0.145806770401952,0.196358151129242,-0.530668746615268,0.239055205811363
mikado.Chr02G28,-0.0838825889041523,0.116759046133426,-0.312730319325667,0.144965141517363
mikado.Chr02G29,0.220310982982811,0.289893692858585,-0.347880655020016,0.788502620985639
mikado.Chr02G30,-0.118976869105327,0.141350011798539,-0.396022892230463,0.158069154019809
mikado.Chr02G32,0.346261424660938,0.151771380787465,0.0487895183175072,0.643733331004369
mikado.Chr02G52,0.0794412016361252,0.305849675652046,-0.520024162641886,0.678906565914136
mikado.Chr02G56,-0.162741717646965,0.41874048962889,-0.98347307731959,0.65798964202566
mikado.Chr02G62,0.0843182371970649,0.168069718334126,-0.245098410737822,0.413734885131951
mikado.Chr02G63,0.0643551906816404,0.402871059910787,-0.725272086743501,0.853982468106782
mikado.Chr02G64,-0.0534459899210944,0.163240722191992,-0.373397805417399,0.26650582557521
mikado.Chr02G34,0.0194800181277735,0.178660911803175,-0.330695369006449,0.369655405261996
mikado.Chr02G35,-0.243436029889259,0.120176110226424,-0.47898120593305,-0.00789085384546842
mikado.Chr02G36,-0.212077566397336,0.13031891203407,-0.467502633984113,0.0433475011894413
mikado.Chr02G37,-0.188217102346161,0.141123195497508,-0.464818565521277,0.0883843608289557
mikado.Chr02G39,-0.147789268419812,0.115556219144874,-0.374279457943765,0.0787009211041402
mikado.Chr02G40,-0.336715474521986,0.185910724140725,-0.701100493837807,0.0276695447938347
mikado.Chr02G42,-0.00454032190295268,0.154731018374611,-0.30781311791719,0.298732474111285
mikado.Chr02G45,0.504882877217839,0.283385552089614,-0.050552804877804,1.06031855931348
mikado.Chr02G43,0.13558640683697,0.159990073131614,-0.177994136500993,0.449166950174933
mikado.Chr02G47,0.138093193728995,0.194964179631065,-0.244036598347892,0.520222985805881
mikado.Chr02G48,0.66267472573018,0.195919978528725,0.278671567813878,1.04667788364648
mikado.Chr02G49,0.905445389525106,0.404594491879922,0.112440185440459,1.69845059360975
mikado.Chr02G50,0.17819088867675,0.143128407375041,-0.102340789778329,0.45872256713183
mikado.Chr02G51,-0.155672503642985,0.271878181857061,-0.688553740082825,0.377208732796855
mikado.Chr02G57,-0.224560875941354,0.117346278574776,-0.454559581947915,0.0054378300652074
mikado.Chr02G58,0.0595712435196625,0.167023330109873,-0.267794483495688,0.386936970535013
mikado.Chr02G59,0.138518663980308,0.169013674703067,-0.192748138437703,0.469785466398319
mikado.Chr02G61,-0.254158040063972,0.133206258130272,-0.515242305999305,0.00692622587136094
mikado.Chr02G60,-0.049784245893144,0.149378614568115,-0.34256633044665,0.242997838660362
mikado.Chr02G68,0.248270150243932,0.181156843110617,-0.106797262252877,0.603337562740741
mikado.Chr02G67,0.0549734451762573,0.132480033345844,-0.204687420181598,0.314634310534113
mikado.Chr02G70,-0.130501207326898,0.10658367204635,-0.339405204537744,0.0784027898839468
mikado.Chr02G78,0.00287462190084064,0.11557625354247,-0.2236548350424,0.229404078844081
mikado.Chr02G71,-0.317633142040277,0.279043731838701,-0.86455885644413,0.229292572363576
mikado.Chr02G72,-0.764645334637256,0.15402109720405,-1.06652668515719,-0.462763984117318
mikado.Chr02G73,-0.271287173591696,0.140091055311332,-0.545865642001906,0.00329129481851487
mikado.Chr02G74,0.5363440355497,0.605989072277168,-0.65139454611355,1.72408261721295
mikado.Chr02G75,-0.053908815337652,0.129398194681798,-0.307529276913977,0.199711646238673
mikado.Chr02G76,1.00735960354023,0.222688007095451,0.570891109633144,1.44382809744731
mikado.Chr02G77,0.515187199737225,0.536298609166717,-0.535958074229541,1.56633247370399
mikado.Chr02G81,-0.0400586044689272,0.157460622050977,-0.348681423688842,0.268564214750988
mikado.Chr02G80,0.147322871289561,0.335295506410655,-0.509856321275324,0.804502063854445
mikado.Chr02G82,-0.121348386407523,0.147494012931993,-0.41043665175423,0.167739878939184
mikado.Chr02G87,-0.462984348148768,0.31209708362298,-1.07469463204981,0.148725935752273
mikado.Chr02G83,-0.0764581010158438,0.145348905348674,-0.361341955499244,0.208425753467556
mikado.Chr02G84,-0.0593274266827533,0.13464974136132,-0.323240919750941,0.204586066385434
mikado.Chr02G85,-0.227598953671443,0.106822391216413,-0.436970840455613,-0.0182270668872723
mikado.Chr02G86,0.0362345172285579,0.12616131544718,-0.211041661047915,0.28351069550503
mikado.Chr02G89,0.21135784470812,0.220477726672744,-0.220778499570458,0.643494188986697
mikado.Chr02G88,-0.185964398430825,0.125701440553609,-0.432339221915899,0.0604104250542496
mikado.Chr02G109,0.0791585834493215,0.647512819334208,-1.18996654244573,1.34828370934437
mikado.Chr02G98,-0.754149069836535,0.442428099719291,-1.62130814528635,0.113010005613276
mikado.Chr02G108,-0.639993484409946,0.171996279817537,-0.977106192852318,-0.302880775967574
mikado.Chr02G110,0.174618303216588,0.424924570143855,-0.658233854265368,1.00747046069854
mikado.Chr02G112,-0.014615064744383,0.352732271420641,-0.705970316728838,0.676740187240072
mikado.Chr02G113,0.149252394023132,0.210214381854595,-0.262767794411874,0.561272582458138
mikado.Chr02G114,0.385817006795373,0.420048738626815,-0.437478520913184,1.20911253450393
mikado.Chr02G115,0.021449829518667,0.250735178691196,-0.469991120716078,0.512890779753412
mikado.Chr02G117,0.0832443166969944,0.478896598397001,-0.855393016161128,1.02188164955512
mikado.Chr02G118,0.0352897117435821,0.411686546805714,-0.771615919995617,0.842195343482781
mikado.Chr02G119,0.105708379539902,0.185094484953306,-0.257076810968577,0.468493570048381
mikado.Chr02G123,0.273659376497894,0.376051548461346,-0.463401658486344,1.01072041148213
mikado.Chr02G126,0.290327224734896,0.622791074472094,-0.930343281230409,1.5109977307002
mikado.Chr02G90,0.41253908846575,0.476292090379522,-0.520993408678114,1.34607158560961
mikado.Chr02G91,-0.233842663839997,0.156218129021756,-0.540030196722639,0.0723448690426441
mikado.Chr02G92,0.740054282715083,0.224616701942626,0.299805546907536,1.18030301852263
mikado.Chr02G93,0.244511266657565,0.166529278175092,-0.0818861185656143,0.570908651880745
mikado.Chr02G94,-0.0069670268764659,0.159109212329426,-0.318821083042141,0.30488702928921
mikado.Chr02G95,0.5383547775805,0.392709223909137,-0.23135530128141,1.30806485644241
mikado.Chr02G97,-0.0574847729225608,0.383054401242019,-0.808271399356917,0.693301853511796
mikado.Chr02G125,0.157156126208351,0.1671756188747,-0.17050808678606,0.484820339202763
mikado.Chr02G128,-0.470556442540057,0.208241192992101,-0.878709180804575,-0.0624037042755388
mikado.Chr02G129,0.0717092963869231,0.442238085734701,-0.79507735165309,0.938495944426937
mikado.Chr02G130,0.148289342481603,0.325948538466286,-0.490569792912318,0.787148477875523
mikado.Chr02G131,0.580669624956456,0.166097561555686,0.255118404307313,0.9062208456056
