ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Direction	GeneRatio_num
GO:0098660	inorganic ion transmembrane transport	8/54	426/11181	0.0187793427230047	3.88836724047992	4.23429138080692	0.000927697423594119	0.0181403245815032	0.0157499552647703	mikado.Chr08G864/mikado.Chr10G326/mikado.Chr03G769/mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	8	Down	0.148148148148148
GO:0030246	carbohydrate binding	4/54	91/11181	0.043956043956044	9.1013431013431	5.40555992465973	0.0009517063055842	0.0181403245815032	0.0157499552647703	mikado.Chr15G46/mikado.Chr15G375/mikado.Chr18G455/mikado.Chr19G301	4	Down	0.0740740740740741
GO:0098655	monoatomic cation transmembrane transport	8/54	428/11181	0.0186915887850467	3.87019730010384	4.21791235165656	0.0009563025935099	0.0181403245815032	0.0157499552647703	mikado.Chr08G303/mikado.Chr08G864/mikado.Chr03G769/mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	8	Down	0.148148148148148
GO:1902369	negative regulation of RNA catabolic process	3/54	41/11181	0.0731707317073171	15.150406504065	6.32334659192041	0.000997019809627871	0.0184956358838057	0.0160584468295815	mikado.Chr01G64/mikado.Chr14G188/mikado.Chr14G190	3	Down	0.0555555555555556
GO:0030042	actin filament depolymerization	2/54	10/11181	0.2	41.4111111111111	8.90601666337888	0.00100503455329682	0.0184956358838057	0.0160584468295815	mikado.Chr03G429/mikado.Chr20G351	2	Down	0.037037037037037
GO:1902495	transmembrane transporter complex	5/54	161/11181	0.031055900621118	6.43029675638371	4.83475467596252	0.00104130982488894	0.0188813972660009	0.0163933760357903	mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	5	Down	0.0925925925925926
GO:0050906	detection of stimulus involved in sensory perception	5/54	163/11181	0.0306748466257669	6.35139740967962	4.79444520975415	0.0011004363008321	0.019664318245304	0.017073130708562	mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	5	Down	0.0925925925925926
GO:0006816	calcium ion transport	5/54	166/11181	0.0301204819277108	6.23661311914324	4.73522936672588	0.00119375981193495	0.0209708666355878	0.0182075138672411	mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	5	Down	0.0925925925925926
GO:0042953	lipoprotein transport	2/54	11/11181	0.181818181818182	37.6464646464647	8.47091994584011	0.00122457615390294	0.0209708666355878	0.0182075138672411	mikado.Chr14G188/mikado.Chr14G190	2	Down	0.037037037037037
GO:0044872	lipoprotein localization	2/54	11/11181	0.181818181818182	37.6464646464647	8.47091994584011	0.00122457615390294	0.0209708666355878	0.0182075138672411	mikado.Chr14G188/mikado.Chr14G190	2	Down	0.037037037037037
GO:0022890	inorganic cation transmembrane transporter activity	7/54	344/11181	0.0203488372093023	4.21333979328165	4.2170628583464	0.00125288631345111	0.0211617647189755	0.0183732571129023	mikado.Chr08G864/mikado.Chr03G769/mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	7	Down	0.12962962962963
GO:0007631	feeding behavior	5/54	169/11181	0.029585798816568	6.12590401051939	4.67745327428941	0.00129283399588076	0.0212541908922797	0.0184535041938348	mikado.Chr15G449/mikado.Chr15G457/mikado.Chr15G462/mikado.Chr15G473/mikado.Chr21G381	5	Down	0.0925925925925926
