ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_lower	CI_upper
mikado.Chr02G9	stable	2554.0623339271	0.343509747196758	0.178820308141802	1.9209772691162	0.0547345732514738	0.366107273125929	-0.00697805676117391	0.69399755115469
mikado.Chr02G2	stable	3090.75144639568	-0.441881035548114	0.12799004871836	-3.45246399991977	0.000555491595033344	0.0316630209169006	-0.6927415310361	-0.191020540060128
mikado.Chr02G3	stable	8406.55671681564	0.027942307338518	0.125624255057855	0.222427646043748	0.823980992367206	0.958877475624346	-0.218281232574878	0.274165847251914
mikado.Chr02G16	stable	252.284958771641	-0.0369960527533864	0.458093150089887	-0.0807609822284551	0.935632038339571	0.984864126333572	-0.934858626929565	0.860866521422792
mikado.Chr02G18	stable	128.916368128672	-0.436862577826254	0.289436152342734	-1.5093573290352	0.131207491477713	0.524077254231523	-1.00415743641801	0.130432280765505
mikado.Chr02G20	stable	868.178098404336	-0.00690439755611579	0.0960472281070353	-0.0718854431532527	0.942693074757709	0.986383146286287	-0.195156964645905	0.181348169533673
mikado.Chr02G19	stable	678.217975292801	0.265787116849981	0.184541889843421	1.44025357643998	0.149795670337332	0.554143355201322	-0.0959149872431241	0.627489220943086
mikado.Chr02G21	stable	5150.9480221927	0.0199194240577934	0.155288335807715	0.128273794385037	0.89793230281204	0.976356088866678	-0.284445714125328	0.324284562240915
mikado.Chr02G24	stable	60.7410842695965	0.155146080969078	0.400523952977811	0.387357809228635	0.698491333790316	0.918170803571402	-0.629880866867432	0.940173028805588
mikado.Chr02G26	stable	48.6767177439699	-0.417923633297713	0.339238565607255	-1.23194611600131	0.217969213157488	0.633608954433407	-1.08283122188793	0.246983955292507
mikado.Chr02G27	stable	1415.5843822787	0.0639903343724022	0.12876041661788	0.496972097894846	0.619208727594449	0.891222676941803	-0.188380082198643	0.316360750943447
mikado.Chr02G22	stable	307.932192650383	-0.0522558629840199	0.20234052829893	-0.258257025536767	0.796208550127885	0.951249812216287	-0.448843298449923	0.344331572481883
mikado.Chr02G23	stable	4125.84744093303	-0.227346952330278	0.143707240532609	-1.58201459778701	0.113646238046852	0.494571754841047	-0.509013143774192	0.0543192391136356
mikado.Chr02G33	stable	532.126794507001	0.0855119064876022	0.172250223384306	0.496440032456837	0.619583986674077	0.891308085803731	-0.252098531345638	0.423122344320842
mikado.Chr02G28	stable	7529.58866035959	0.0761496219503464	0.0884028639176139	0.861393156010344	0.389021544183914	0.766351982607229	-0.0971199913281768	0.24941923522887
mikado.Chr02G29	stable	128.845264749615	-0.20890742776225	0.319078261571737	-0.654721593170276	0.512647020066031	0.845024809367465	-0.834300820442855	0.416485964918355
mikado.Chr02G30	stable	5789.01117032105	0.173639272839421	0.0891946676561883	1.94674499498932	0.0515653143460344	0.35673945703246	-0.0011822757667081	0.34846082144555
mikado.Chr02G32	stable	3569.2766536563	-0.271670354672536	0.118569110659138	-2.29124055297617	0.0219495047056359	0.244640175720201	-0.504065811564446	-0.0392748977806255
mikado.Chr02G52	stable	2880.43480132485	-0.234554071622013	0.251148848093089	-0.933924536795308	0.350342820888653	0.73904697506423	-0.726805813884467	0.257697670640441
mikado.Chr02G62	stable	1557.93554652793	0.0587583324803994	0.104346890505089	0.563105735072513	0.573362886466726	0.873746234728792	-0.145761572909575	0.263278237870374
mikado.Chr02G63	stable	108.100060972576	-0.409785805981821	0.407797955293637	-1.00487459699682	0.314957237940816	0.716662645160467	-1.20906979835735	0.389498186393707
mikado.Chr02G64	stable	594.776657963299	0.10906719018036	0.126858493299502	0.859754734141934	0.389924256253759	0.766760930511591	-0.139575456686664	0.357709837047384
mikado.Chr02G34	stable	2521.41620415155	0.385312407108906	0.180153309426419	2.13880282485891	0.0324516405995764	0.291440131194318	0.0322119206331248	0.738412893584687
mikado.Chr02G35	stable	2408.32673360168	0.00517193621185924	0.150567595340698	0.0343495969378829	0.972598375545139	0.994159629418514	-0.289940550655909	0.300284423079627
mikado.Chr02G36	stable	4098.99939548937	0.0829145372917376	0.0832218576344509	0.996307216019339	0.31910089875693	0.720656810112549	-0.0802003036717862	0.246029378255261
mikado.Chr02G37	stable	1273.77608695051	0.0614761202975756	0.132918732249654	0.462509077968848	0.643716293860628	0.900957414062424	-0.199044594911746	0.321996835506897
mikado.Chr02G39	stable	2468.54754264876	0.0937327394124264	0.0769628788148619	1.21789544330722	0.223263708037045	0.637861555405211	-0.0571145030647029	0.244579981889556
mikado.Chr02G40	stable	1481.94174974583	0.136902381330298	0.143432795150655	0.954470567114738	0.33984550094769	0.733067176841248	-0.144225897164986	0.418030659825582
mikado.Chr02G42	stable	3662.0999645523	-0.0227679395341751	0.125984199117753	-0.180720595865318	0.856586891806627	0.96820858693665	-0.269696969804971	0.224161090736621
mikado.Chr02G45	stable	43675.5550320539	-0.42083609491697	0.270568989396135	-1.55537445682969	0.119856913873192	0.50657673405854	-0.951151314133394	0.109479124299455
mikado.Chr02G43	stable	655.708247122203	-0.0419003283133599	0.111296069568748	-0.376476262600431	0.70656285936246	0.92017170734864	-0.260040624668106	0.176239968041386
mikado.Chr02G47	stable	289.754721596324	-0.420540549448137	0.260697180767546	-1.61313807924574	0.106714512493445	0.485066364629734	-0.931507023752527	0.0904259248562531
mikado.Chr02G48	stable	2789.73092851096	0.364531013569238	0.34783094460515	1.04801202774827	0.294633065373661	0.699003283095837	-0.317217637856856	1.04627966499533
mikado.Chr02G49	stable	115.339030269608	-0.580387356642212	0.443850294950208	-1.3076196259086	0.191002356794005	0.605043469368723	-1.45033393474462	0.289559221460196
mikado.Chr02G50	stable	2793.62538036488	-0.0247056224338397	0.120966596635373	-0.204235079112868	0.838169799869865	0.964076328478077	-0.261800151839171	0.212388906971491
mikado.Chr02G51	stable	48761.4081186358	-0.000479752650903532	0.229149136498739	-0.00209362626555729	0.998329529146975	0.999221921500337	-0.449612060188432	0.448652554886625
mikado.Chr02G57	stable	2132.13461177329	0.120108761753885	0.0813163465573093	1.47705555941616	0.139660744801002	0.537859383009372	-0.0392712774984412	0.279488801006211
mikado.Chr02G58	stable	562.396457927179	-0.0578466432386016	0.12766815027803	-0.453101600615546	0.650475582843826	0.9043197127341	-0.30807621778354	0.192382931306337
mikado.Chr02G59	stable	843.578921902278	0.0152495631042384	0.127628821421875	0.119483694469223	0.904892157418921	0.978100478925038	-0.234902926882637	0.265402053091113
mikado.Chr02G61	stable	17423.8684691749	0.199656854561296	0.110373295792918	1.80892355462404	0.0704628804730218	0.408747063274919	-0.0166748051928233	0.415988514315415
mikado.Chr02G60	stable	1243.63541155453	-0.00256419367903713	0.131945074327318	-0.019433796161849	0.984495050056175	0.996509632333954	-0.26117653936058	0.256048152002506
mikado.Chr02G68	stable	347.619061072625	-0.168873453495716	0.189643282340603	-0.890479490818009	0.373208476114549	0.754380954575081	-0.540574286883298	0.202827379891866
mikado.Chr02G67	stable	3630.72985534478	-0.0502061827547618	0.120373025540361	-0.417088317996356	0.676613809315695	0.911421221693169	-0.286137312813869	0.185724947304346
mikado.Chr02G70	stable	8222.96822233699	0.17430576016359	0.0815870159338003	2.13643994903579	0.0326435707692082	0.291871926877626	0.0143952089333414	0.334216311393839
mikado.Chr02G78	stable	1104.48538137057	0.182305259805583	0.146322039271782	1.24591798141198	0.212794507902558	0.627788691668643	-0.10448593716711	0.469096456778276
mikado.Chr02G71	stable	372.192355337866	0.451960869912203	0.223630765033593	2.02101383431886	0.0432783330150939	0.330592248115298	0.0136445704463607	0.890277169378045
mikado.Chr02G72	stable	1353.16998466155	0.161404206257758	0.274347095137494	0.588321178239076	0.556316733009302	0.867843162765438	-0.37631610021173	0.699124512727246
mikado.Chr02G73	stable	2094.27607459987	0.267740066469611	0.106777971156571	2.50744665373927	0.0121606936294164	0.183777168278558	0.0584552430027319	0.47702488993649
mikado.Chr02G75	stable	4499.9533042834	-0.0309104434196212	0.112551366203431	-0.274634102297365	0.783597363537579	0.947020960488967	-0.251511121178346	0.189690234339104
mikado.Chr02G76	stable	357.064753035819	-0.483369501571479	0.366819041645057	-1.31773285106393	0.187593093367461	0.6020429508072	-1.20233482319579	0.235595820052833
mikado.Chr02G81	stable	796.952339057043	-0.0188191469854573	0.140380394577553	-0.134058228302391	0.893356530397505	0.975172881719682	-0.293964720357461	0.256326426386547
mikado.Chr02G80	stable	1929.11996876342	-0.605469189497065	0.169365816531325	-3.57491967326877	0.000350335439842006	0.0232551778041959	-0.937426189898462	-0.273512189095668
mikado.Chr02G82	stable	6563.73193400684	0.0151647937559789	0.164320659366636	0.0922878097886815	0.926469373415296	0.983280232045005	-0.306903698602628	0.337233286114585
mikado.Chr02G87	stable	212.667777789549	0.333173229332164	0.270080078033981	1.23360905312773	0.217348617911339	0.63335197992385	-0.196183723614439	0.862530182278767
mikado.Chr02G83	stable	1563.54945386048	0.0267324058373991	0.140761060803913	0.189913358742292	0.849377024213392	0.966477200468743	-0.24915927333827	0.302624085013069
mikado.Chr02G84	stable	1434.60608556636	0.0676361868242452	0.11476355707645	0.589352478672208	0.555624847803394	0.867843162765438	-0.157300385045597	0.292572758694087
mikado.Chr02G85	stable	3815.79009141026	0.155425835244822	0.0987499653555973	1.57393306099031	0.11550292566751	0.497501379794218	-0.0381240968521487	0.348975767341793
mikado.Chr02G86	stable	1136.3658558488	-0.0253275733207221	0.0841525026274483	-0.300972312527054	0.763435607595393	0.940763374892863	-0.190266478470521	0.139611331829077
mikado.Chr02G89	stable	276.102118515861	-0.438366872544667	0.219844340021342	-1.99398753000469	0.046153417300142	0.340645348799359	-0.869261778986497	-0.00747196610283668
mikado.Chr02G88	stable	1779.82186735139	0.165826526905568	0.0925497235534322	1.7917560478701	0.0731720521236396	0.414097598775532	-0.0155709312591591	0.347223985070295
mikado.Chr02G109	stable	54.4311745745915	-0.55499918722796	0.672445306164944	-0.825344726388535	0.409175905942356	0.780971228666684	-1.87299198731125	0.76299361285533
mikado.Chr02G98	stable	50.8813010153953	-0.191929650982944	0.623678331209951	-0.307738206345242	0.75828154513242	0.940157113255647	-1.41433918015445	1.03047987818856
mikado.Chr02G108	stable	727.782385491195	0.228125938678603	0.297158724304262	0.767690530415063	0.442671063407706	0.801023829023467	-0.354305160957751	0.810557038314957
mikado.Chr02G110	stable	1058.71319374272	-0.393456085243112	0.403452220796089	-0.975223496023264	0.329449409642311	0.727158226488791	-1.18422243800345	0.397310267517222
mikado.Chr02G112	stable	657.744206345496	-0.299660843334367	0.254914744475226	-1.17553358457651	0.239781308993429	0.652858482244234	-0.79929374250581	0.199972055837076
