"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","transcript_id","DE"
2.03939065615042,3.14565005214874,2.76371932540044,1.1381944697633,0.255039287415312,NA,"TRINITY_DN100000_c0_g1_i2","Not significant"
2.32251550702186,-0.0321829276294944,2.78964260503056,-0.0115365773276688,0.990795347244751,NA,"TRINITY_DN100005_c0_g1_i1","Not significant"
3.42752913275512,2.15049661709671,3.0190679314898,0.712304812576879,0.476276044552061,NA,"TRINITY_DN100005_c0_g1_i2","Not significant"
1.47875233157282,3.38768608193073,3.0900170906196,1.0963324740872,0.272933302949229,NA,"TRINITY_DN100017_c0_g2_i1","Not significant"
9.91844817180133,-1.04740501958517,1.33110410979193,-0.78686934544053,0.431358354051242,NA,"TRINITY_DN100029_c0_g2_i1","Not significant"
5.72849118290095,0.053123001996069,1.49590253170144,0.0355123417938513,0.971671205255092,NA,"TRINITY_DN100052_c0_g2_i1","Not significant"
1.42341048436954,-0.0801116051807843,3.27752069455038,-0.0244427457968421,0.980499452284363,NA,"TRINITY_DN100058_c0_g2_i1","Not significant"
186.678057472927,0.0572637034629548,0.431403426892455,0.132738174741551,0.894400450908977,0.999911400449469,"TRINITY_DN100063_c0_g1_i1","Not significant"
0.920092598227324,2.08896874921534,3.85039077169755,0.542534218752648,0.587450541100595,NA,"TRINITY_DN100073_c2_g1_i1","Not significant"
4.9917986730164,0.25069459715672,1.6090537365828,0.155802501468427,0.876188698820189,NA,"TRINITY_DN100080_c0_g1_i1","Not significant"
2.40822938878951,1.64067859253293,2.2526423173864,0.728335155505963,0.466408446993562,NA,"TRINITY_DN100088_c0_g1_i1","Not significant"
2.48325721139448,0.230517119697962,2.2489353528749,0.102500554052513,0.918359373096523,NA,"TRINITY_DN100091_c0_g1_i1","Not significant"
2.50975829452603,0.0224141493309519,2.17699767075449,0.0102958995464537,0.991785205848189,NA,"TRINITY_DN100095_c0_g1_i1","Not significant"
12.2357007684859,0.535569882084781,1.13999223359018,0.469801342767142,0.638496954979578,NA,"TRINITY_DN100096_c0_g1_i1","Not significant"
