"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","CI_lower","CI_upper"
"mikado.Chr10G640",1188.42283392349,1.84138716876092,0.246612337461817,7.46672768975327,8.22136570662944e-14,4.66644717508287e-10,"Up",1.35802698733576,2.32474735018608
"mikado.Chr17G185",349.877169166709,1.2268958787311,0.16560022524468,7.40878146100536,1.27465149927141e-13,4.82328127324301e-10,"Up",0.902319437251527,1.55147232021067
"mikado.Chr02G635",1060.58113593169,1.80240759522796,0.256491809714922,7.02715457944348,2.10787805428735e-12,5.98215791806751e-09,"Up",1.29968364818671,2.30513154226921
"mikado.Chr10G612",16434.7016874094,2.02027010760464,0.293738483389194,6.87778490681404,6.07903619651483e-12,1.38018437805673e-08,"Up",1.44454268016182,2.59599753504746
"mikado.Chr21G285",5612.21095330839,1.20222139304035,0.178728937862281,6.7265066721692,1.73784683075954e-11,3.28800620379704e-08,"Up",0.851912674830279,1.55253011125042
"mikado.Chr18G146",1390.64568315293,1.3071695160097,0.198611038780888,6.58155520475271,4.6555258426903e-11,7.54993276660289e-08,"Up",0.91789187999916,1.69644715202024
"mikado.Chr13G481",644.386566366876,1.20049930521495,0.192073109092863,6.25022061070784,4.09873318817851e-10,5.81610239402531e-07,"Up",0.824036011392939,1.57696259903696
"mikado.Chr13G450",203.885940551733,1.15685387909429,0.190721706376601,6.06566447559961,1.31409210727118e-09,1.35614305470385e-06,"Up",0.783039334596152,1.53066842359243
"mikado.Chr03G91",691.707915251673,1.56352463496709,0.270366023544998,5.78299230970812,7.33834190868122e-09,6.40806594979609e-06,"Up",1.03360722881889,2.09344204111529
"mikado.Chr07G576",2964.65802754397,-1.1880443139195,0.206706518186219,-5.74749323022898,9.05762248947169e-09,6.85480870003218e-06,"Down",-1.59318908956449,-0.782899538274511
"mikado.Chr18G203",214.45639408904,4.73685836434854,0.83088886943024,5.70095296570373,1.19139508065533e-08,7.95571585623492e-06,"Up",3.10831618026527,6.36540054843181
"mikado.Chr03G807",546.890257104093,1.13900033905817,0.205831552804571,5.53365275410228,3.13629593024422e-08,1.87385428421749e-05,"Up",0.735570495561211,1.54243018255513
"mikado.Chr19G464",4367.76373764762,-1.64856674425047,0.312929390412693,-5.26817484952862,1.37786835230359e-07,7.44836263588114e-05,"Down",-2.26190834945935,-1.03522513904159
"mikado.Chr15G70",1098.41806908866,1.80213446722199,0.354131252069178,5.0888885312781,3.60168232168769e-07,0.00015143073228073,"Up",1.1080372131664,2.49623172127758
"mikado.Chr03G52",5140.29149162325,1.01402805820723,0.204012561737604,4.97041971126976,6.6808122674718e-07,0.00022981994200103,"Up",0.614163437201526,1.41389267921293
"mikado.Chr18G101",536.667865758614,2.31555931621483,0.465578232511894,4.97351283740629,6.57504176120027e-07,0.00022981994200103,"Up",1.40302598049152,3.22809265193814
"mikado.Chr09G401",533.279426284946,1.02999669446071,0.217443763555577,4.73684173608157,2.17074553055909e-06,0.00063185392981812,"Up",0.603806917891779,1.45618647102964
"mikado.Chr10G26",927.248672163606,-1.36886309678386,0.293504679979086,-4.66385441241143,3.1034097876215e-06,0.0008592660465629,"Down",-1.94413226954287,-0.793593924024851
"mikado.Chr04G729",109.80971349536,1.21537853448931,0.26110794969497,4.65469755290536,3.24456618596693e-06,0.00087695988912134,"Up",0.703606953087169,1.72715011589145
"mikado.Chr03G200",25079.2748150376,1.06147796694179,0.229304450011492,4.62912065984149,3.67221761410273e-06,0.00096946545012312,"Up",0.612041244919266,1.51091468896431
"mikado.Chr05G517",1121.5898626705,1.43527425983966,0.319263765608581,4.49557517779612,6.93821385890565e-06,0.00161888724567912,"Up",0.809517279246841,2.06103124043248
"mikado.Chr21G162",289.534176007694,1.06254739749798,0.236178329878045,4.4989199392114,6.82995710777613e-06,0.00161888724567912,"Up",0.599637870937012,1.52545692405895
"mikado.Chr16G318",2188.48867873751,1.05702223232303,0.23765278889248,4.44775858616689,8.67709708032503e-06,0.00197004812111699,"Up",0.591222766093769,1.52282169855229
"mikado.Chr03G871",198.888958403494,1.21040677445162,0.273198116061307,4.43050922862148,9.40108236920498e-06,0.00209257033441598,"Up",0.674938466971458,1.74587508193178
"mikado.Chr08G656",8926.05333880035,1.51855957410587,0.34745537884521,4.37051681039706,1.23952810929546e-05,0.00255838601758584,"Up",0.837547031569258,2.19957211664248
"mikado.Chr11G871",1715.00319009494,1.09816745383518,0.254681170635355,4.31193028952855,1.61835462164458e-05,0.0030667607200731,"Up",0.598992359389884,1.59734254828048
"mikado.Chr21G586",420.318668619609,1.06650297380432,0.249476640800268,4.27496125642548,1.91170535752602e-05,0.00344471098708498,"Up",0.577528757835795,1.55547718977285
"mikado.Chr07G65",7570.8869459007,-2.80632798215423,0.658482847932632,-4.26180877902129,2.02778923683056e-05,0.0035967911588282,"Down",-4.09695436410219,-1.51570160020627
"mikado.Chr11G823",106.129964857603,1.34187404188138,0.322601832312681,4.15953633078181,3.18894295977831e-05,0.00509871556047935,"Up",0.709574450548525,1.97417363321423
"mikado.Chr05G634",105.961657259596,2.57970008177143,0.620911218222443,4.15470039204098,3.2571405143519e-05,0.00512914457565575,"Up",1.36271409405544,3.79668606948742
"mikado.Chr16G669",8320.71480642674,2.69810333195162,0.650330247734218,4.14882029761332,3.34193015257612e-05,0.00512914457565575,"Up",1.42345604639255,3.97275061751069
"mikado.Chr10G142",231.798468971201,1.11077180724579,0.278632601884153,3.9865105509355,6.70521473594877e-05,0.00855253906544837,"Up",0.56465190755285,1.65689170693873
"mikado.Chr07G167",276.197173028098,1.07084953818316,0.270542424582216,3.95815754160117,7.55301356219138e-05,0.00931976195195615,"Up",0.540586386002017,1.6011126903643
"mikado.Chr10G639",220909.834799005,1.05664137079045,0.269305726163246,3.92357558023084,8.72443779698249e-05,0.0104252439864574,"Up",0.528802147510488,1.58448059407041
"mikado.scaffold_82G2",304.664129521195,1.4838999415255,0.390457368215593,3.80041475028883,0.00014445410844962,0.0157677215300018,"Up",0.718603499822938,2.24919638322806
"mikado.Chr10G138",597.128883645324,1.146771564583,0.304412475532152,3.76716349281776,0.00016511287668028,0.0167353694292373,"Up",0.550123112539982,1.74342001662602
"mikado.Chr13G156",1554.65879372549,1.19888351390396,0.320800650217861,3.73716048608311,0.0001861101420592,0.0180574558346673,"Up",0.570114239476952,1.82765278833097
"mikado.Chr11G315",555.590197191748,1.05104621341841,0.283205856280385,3.71124463039997,0.00020624266700912,0.0191907111138324,"Up",0.495962735108855,1.60612969172796
"mikado.Chr18G630",2119.17509892236,1.11923871135592,0.301758385952474,3.70905586541741,0.00020803352797949,0.0191999724359615,"Up",0.527792274889071,1.71068514782277
"mikado.Chr14G485",1037.22531769298,-1.65968133416175,0.450468310763879,-3.6843464778851,0.00022929017318786,0.0200223234309896,"Down",-2.54259922325895,-0.776763445064547
"mikado.Chr03G693",219.855985208087,-2.0974857540047,0.570358244402135,-3.6774882709083,0.00023554190299905,0.0204112342201928,"Down",-3.21538791303288,-0.979583594976515
"mikado.Chr05G10",319.236737630688,1.13822685125887,0.310229007009328,3.66898911946247,0.00024351144160113,0.020476606555971,"Up",0.530177997520587,1.74627570499715
"mikado.Chr08G48",21.1002744594295,1.81785458303736,0.498586968775693,3.64601302657628,0.000266340480006,0.0214986011701879,"Up",0.840624124237002,2.79508504183772
"mikado.Chr15G561",97.0106804916439,1.00841070286624,0.276749400962124,3.64376833106225,0.00026867527095734,0.0214986011701879,"Up",0.465981876980477,1.550839528752
"mikado.Chr07G792",113.687844566296,1.09223439398177,0.301328367420247,3.62473139629264,0.00028926193001625,0.0225059386395392,"Up",0.501630793838086,1.68283799412545
"mikado.Chr05G635",22.003856409433,2.80810206994934,0.777581428938965,3.61132862159669,0.00030463236096242,0.023366125416523,"Up",1.28404246922897,4.33216167066971
"mikado.Chr02G774",194.691236121396,-1.06048205282774,0.294654973858863,-3.59906380991791,0.00031936482604379,0.023851509902955,"Down",-1.63800580159111,-0.482958304064369
"mikado.Chr05G638",22.4362628042764,2.16226152348103,0.603192411117521,3.58469616597971,0.00033747083911806,0.0248101972967688,"Up",0.980004397690689,3.34451864927137
"mikado.Chr05G637",25.0015822560404,2.0753395177829,0.580636843097877,3.5742470400437,0.00035123719339291,0.0252357254392177,"Up",0.937291305311061,3.21338773025474
"mikado.Chr05G513",1464.81534656207,1.51750509252808,0.431352489721287,3.51801630612727,0.00043478564526155,0.0297330520783683,"Up",0.672054212674357,2.3629559723818
"mikado.Chr14G66",109.459276288172,1.54677961362725,0.440770481324492,3.50926316340254,0.00044935005490947,0.0301835610848065,"Up",0.682869470231246,2.41068975702325
"mikado.Chr15G618",147.016551177539,1.02515166758269,0.291990754682802,3.51090454455086,0.00044658472783977,0.0301835610848065,"Up",0.452849788404398,1.59745354676098
"mikado.Chr05G636",26.0875512188845,2.0236034500833,0.583201794073609,3.46981691525435,0.00052081324521764,0.032845955331726,"Up",0.880527933699026,3.16667896646757
"mikado.Chr02G636",107.759872435745,1.65129204866796,0.476590290217859,3.46480421981135,0.00053061761285143,0.0330965447312608,"Up",0.717175079840957,2.58540901749496
"mikado.Chr04G807",116.819349507237,1.10054508801726,0.319902483441432,3.44025177978572,0.00058117325882925,0.0352806354771644,"Up",0.473536220472053,1.72755395556247
"mikado.Chr05G983",29.0092879440313,1.8564926165303,0.544122238748855,3.41190358401651,0.00064510926530809,0.0387475152369181,"Up",0.790013028582544,2.92297220447806
"mikado.Chr21G165",115.457458064509,-1.00350811575947,0.294878359661166,-3.40312567159071,0.00066619630540343,0.0395950809368576,"Down",-1.58146970069536,-0.425546530823585
"mikado.Chr11G279",246.868497064976,1.0866161746091,0.32097163707645,3.38539624406218,0.00071075573622711,0.0405452216967348,"Up",0.457511765939258,1.71572058327894
"mikado.Chr16G668",835.728577572283,1.51999788251542,0.450588743258045,3.37335964392909,0.00074256893320655,0.0416515778603291,"Up",0.636843945729652,2.40315181930119
"mikado.Chr04G835",24.2523569422052,1.45921962646986,0.432711241315956,3.37227112943057,0.0007455101887436,0.0416515778603291,"Up",0.611105593490586,2.30733365944913
"mikado.Chr14G355",30.279416172447,1.65655852339324,0.493481175528984,3.35688290767627,0.00078826487837555,0.0428152291833459,"Up",0.689335419356431,2.62378162743005
"mikado.Chr03G684",65.2077723421844,1.80486730064884,0.538378315484219,3.3524145544858,0.00080109965395462,0.0433051584366326,"Up",0.749645802299771,2.86008879899791
"mikado.Chr13G92",2407.24504152881,1.04161919719032,0.312320873776032,3.33509311944764,0.00085270839644904,0.0452333911985492,"Up",0.429470284589297,1.65376810979134
"mikado.Chr02G376",35.8390959078357,1.35676049700615,0.407177951331044,3.33210698804041,0.00086191114072512,0.0453281506040713,"Up",0.558691712397304,2.154829281615
"mikado.Chr15G564",88.7274018279988,1.03164446444156,0.310331170109389,3.32433401413694,0.00088629975208311,0.0453281506040713,"Up",0.423395371027158,1.63989355785596
"mikado.Chr06G123",355.338234361344,1.02550626000554,0.311116980674454,3.29620793369235,0.00097999452793166,0.0489727904779541,"Up",0.41571697788361,1.63529554212747
