ID,baseMean,log2FoldChange,lfcSE,CI_lower,CI_upper,stat,pvalue,padj,Change
mikado.Chr02G4,9.20208892426012,0.339469584967631,1.08943989130423,-1.79583260198865,2.47477177192391,0.311600105409427,0.755344454118421,NA,not significant
mikado.Chr02G6,36.0571658053909,0.164290309233941,0.497860217907044,-0.811515717863864,1.14009633633175,0.329992844024778,0.741405369189637,0.968232985714253,not significant
mikado.Chr02G9,2552.25377723924,0.119640666645039,0.258052789001981,-0.386142799798845,0.625424133088923,0.463628651748927,0.642913822988536,0.951133567171018,not significant
mikado.Chr02G1,12.1755360841182,-0.73973013214351,0.781156492010119,-2.27079685648334,0.791336592196324,-0.94696791194808,0.34365513016376,NA,not significant
mikado.Chr02G2,3086.56102649413,-0.47145934868746,0.120054556748171,-0.706766279913876,-0.236152417461044,-3.9270425168151,8.59967838978122e-05,0.0069448175573738,down
mikado.Chr02G3,8395.35405784507,0.0393089895922359,0.142636715577433,-0.240258972939533,0.318876952124004,0.275588157180304,0.78286440675205,0.9757278687492,not significant
mikado.Chr02G16,252.091500616996,-0.654880720918376,0.465047503307674,-1.56637382740142,0.256612385564666,-1.40820177779797,0.159071330001208,0.694620128516344,not significant
mikado.Chr02G18,128.620944721232,-0.107030745820311,0.341291524406526,-0.775962133657102,0.561900642016481,-0.313605050715593,0.753821023020886,0.96922464516845,not significant
mikado.Chr02G20,867.042485119143,0.00624362806794539,0.122824584450716,-0.234492557455458,0.246979813591349,0.0508336999133156,0.959458036933771,0.995949386432152,not significant
mikado.Chr02G19,677.709631731472,0.0168381098369566,0.195670251158382,-0.366675582433472,0.400351802107385,0.0860534993810956,0.931423888557473,0.993018886571258,not significant
mikado.Chr02G21,5143.3204971495,0.225363596434368,0.204469733339159,-0.175397080910385,0.62612427377912,1.1021856034827,0.270380989493971,0.810320949276845,not significant
mikado.Chr02G24,60.6602167066445,0.0992648697642914,0.372944325950296,-0.631706009098288,0.830235748626871,0.266165384099505,0.79011184118095,0.976824685782581,not significant
mikado.Chr02G26,48.6313595115948,-0.542480503864185,0.393480101885604,-1.31370150355997,0.228740495831599,-1.37867328300606,0.167995510502231,0.707220941597813,not significant
mikado.Chr02G27,1413.49357210812,0.0956834668724311,0.134043626965263,-0.167042041979484,0.358408975724346,0.713823320352465,0.475336437438373,0.914505972028175,not significant
mikado.Chr02G22,307.365819484823,0.167532718810392,0.240171901883592,-0.303204208881448,0.638269646502233,0.697553366969601,0.485456553650882,0.916436041248452,not significant
mikado.Chr02G23,4121.09110436774,-0.357415144844106,0.19348301488282,-0.736641854014432,0.0218115643262209,-1.84726884197339,0.0647081863608586,0.492491962533625,not significant
mikado.Chr02G33,531.591528394853,0.0204286724279818,0.196235114387627,-0.364192151771767,0.40504949662773,0.104103042372063,0.917087576515392,0.992111137364003,not significant
mikado.Chr02G28,7521.30030328713,0.0378041264943794,0.116719745034782,-0.190966573773794,0.266574826762553,0.323888014689492,0.74602281820103,0.968232985714253,not significant
