"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Change"
1.29648050628949,-0.262976927365103,3.62416466977543,-0.0725620801831276,0.942154602769696,0.995119488961276,"mikado.Chr02G7","ns"
9.20419383600049,-1.07143051237201,1.06785144765461,-1.00335165038664,0.315691223505777,0.807632471805125,"mikado.Chr02G4","ns"
1.24545989943108,0.771148073393396,3.42109756279519,0.22540955329065,0.821660680418389,0.974650885213765,"mikado.Chr02G8","ns"
36.0604025439085,-0.024842132938473,0.504526148177708,-0.0492385439846875,0.960729194846259,0.997231344312231,"mikado.Chr02G6","ns"
2.89962393075499,3.896860622681,3.07497109352866,1.26728366028612,0.205053880897109,0.722440005933561,"mikado.Chr02G14","ns"
2552.53650869805,0.00172573025213825,0.257915511108753,0.00669106811265251,0.994661339893315,0.999452860364597,"mikado.Chr02G9","ns"
12.1745975096606,-0.398335714354863,0.804672903223749,-0.495028119822374,0.620580271304336,0.933169655931854,"mikado.Chr02G1","ns"
3086.73921525738,-0.217820431575009,0.11720394320479,-1.85847357707422,0.063101792254874,0.454142202650296,"mikado.Chr02G2","ns"
8396.11907641852,0.319274855329462,0.140152583210075,2.27805187758045,0.0227234869087809,0.265359388279774,"mikado.Chr02G3","ns"
252.100454875827,-0.577704666328597,0.471967973921447,-1.22403361721477,0.220939546105678,0.738052264716596,"mikado.Chr02G16","ns"
128.631104622856,0.0908222130560426,0.347354509324257,0.261468357594459,0.793731347973535,0.969341844620453,"mikado.Chr02G18","ns"
867.133025110962,0.0532732027458709,0.120249692746172,0.443021529030614,0.657750162593399,0.939547757846757,"mikado.Chr02G20","ns"
677.785035755868,-0.309134960601654,0.194726593708547,-1.58753334464601,0.112391901089941,0.582759872836488,"mikado.Chr02G19","ns"
5144.01674611331,0.0941983503962097,0.203352577859812,0.463226733526577,0.643201855877053,0.936843523199371,"mikado.Chr02G21","ns"
60.6680884963055,0.120679800994167,0.379345733415368,0.318126158709231,0.750389241790051,0.959006173992223,"mikado.Chr02G24","ns"
48.6359370062102,-0.135919236961684,0.405658745606913,-0.3350580714298,0.737581280680745,0.957736055307606,"mikado.Chr02G26","ns"
1413.63513098335,0.0569769717008292,0.131363583746785,0.433734906400373,0.664480955486352,0.941212747994264,"mikado.Chr02G27","ns"
307.400415997477,0.0596332156449483,0.241117635134911,0.247320008806416,0.804660574899498,0.970248953603952,"mikado.Chr02G22","ns"
